"identifier","labels","text","en","es-CO","de","fr-CA","nl","de-CH","es-AR","en-GH"
"TeacherFeelJobItems","teacher_survey_general","I feel I'm working too hard on my job.","I feel I'm working too hard on my job.","Siento que estoy estoy haciendo un esfuerzo muy grande en mi trabajo.","Ich habe das Gefühl","dass ich in meinem Job zu hart arbeite.","Je sens que je travaille trop dur dans mon emploi.","Ik voel dat ik te hard werk op mijn werk.","Ich habe das Gefühl","dass ich in meinem Job zu hart arbeite."
"TeacherFeelJobItems","teacher_survey_general","I can easily create a relaxed atmosphere with my students.","I can easily create a relaxed atmosphere with my students.","Puedo crear fácilmente un ambiente relajado con mis alumnos.","Ich kann mit meinen Schülern leicht eine entspannte Atmosphäre schaffen.","Je peux facilement créer une atmosphère détendue avec mes élèves.","Ik kan gemakkelijk een ontspannen sfeer creëren met mijn leerlingen.","Ich kann mit meinen Schülern leicht eine entspannte Atmosphäre schaffen.","Puedo crear fácilmente un ambiente relajado con mis alumnos.","I can easily create a relaxed environment with my students."
"TeacherFeelJobItems","teacher_survey_general","I feel exhilarated after working closely with my students.","I feel exhilarated after working closely with my students.","Me siento eufórico(a) después de trabajar de manera cercana con mis alumnos.","Ich fühle mich euphorisch","nachdem ich eng mit meinen Schülern zusammengearbeitet habe.","Je me sens exalté(e) après avoir travaillé en étroite collaboration avec mes élèves.","Ik voel me opgetogen nadat ik nauw met mijn leerlingen heb samengewerkt.","Ich fühle mich euphorisch","nachdem ich eng mit meinen Schülern zusammengearbeitet habe."
"TeacherFeelJobItems","teacher_survey_general","I have accomplished many worthwhile things in this job.","I have accomplished many worthwhile things in this job.","En este trabajo he logrado muchas cosas que valen la pena.","In diesem Job habe ich viele wertvolle Dinge erreicht.","Dans ce travail","j'ai accompli beaucoup de choses qui en valent la peine.","Ik heb veel waardevolle dingen bereikt in deze baan.","In diesem Job habe ich viele wertvolle Dinge erreicht.","En este trabajo he logrado muchas cosas que valen la pena."
"TeacherFeelJobItems","teacher_survey_general","I feel like I'm at the end of my rope.","I feel like I'm at the end of my rope.","Siento que estoy al límite de mis fuerzas.","Ich habe das Gefühl","dass ich am Ende meiner Kräfte bin.","J’ai l'impression d'être à bout de nerfs.","Ik voel dat ik op het eind van mijn lat zit.","Ich habe das Gefühl","dass ich am Ende meiner Kräfte bin."
"TeacherFeelJobItems","teacher_survey_general","In my work","I deal with emotional problems very calmly.","In my work","I deal with emotional problems very calmly.","En mi trabajo afronto los problemas emocionales con mucha calma.","In meiner Arbeit gehe ich sehr ruhig mit emotionalen Problemen um.","Dans mon travail","je gère très calmement les problèmes émotionnels.","In mijn werk ga ik zeer rustig om met emotionele problemen."
"TeacherBeliefTeach","teacher_survey_general","<b>This set of questions is designed to help us gain a better understanding of the kinds of things that create difficulties for teachers in their school activities.</b>","<b>This set of questions is designed to help us gain a better understanding of the kinds of things that create difficulties for teachers in their school activities.</b>","<b>El siguiente grupo de preguntas está diseñado para ayudarnos a comprender los aspectos que les generan dificultades a los docentes en sus actividades escolares.</b>","<b>Mit diesem Set an Fragen sollen die Aspekte erforscht werden","die Lehrern bei ihren schulischen Aktivitäten Schwierigkeiten bereiten.</b>","<b>Cet ensemble de questions est conçu pour nous aider à mieux comprendre les types de difficultés que rencontrent les enseignants dans leurs activités scolaires.</b>","<b>Deze set vragen is ontworpen om ons te helpen een beter inzicht te krijgen in de soorten dingen die docenten moeilijkheden veroorzaken in hun schoolactiviteiten.</b>","<b>Mit diesem Set an Fragen sollen die Aspekte erforscht werden","<b>This set of questions is designed to help us gain a better understanding of the kinds of things that create difficulties for teachers in their school activities.</b>"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","<b>How much influence do you have...</b>","<b>How much influence do you have...</b>","<b>¿Cuánta influencia tiene usted...</b>","<b>Wie viel Einfluss haben Sie...</b>","<b>Quelle influence avez-vous...</b>","<b>Hoeveel invloed heeft u...</b>","<b>Wie viel Einfluss haben Sie...</b>","<b>¿Cuánta influencia tiene usted...</b>","<b>To what degree do you have influence on...</b>"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","Never","Never","Nada de influencia","Nie","Jamais","Nooit","Nie","Nada de influencia","Never"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","Very Little","Very Little","Muy poca influencia","Sehr wenig","Très peu d'influence","Zeer weinig","Sehr wenig","Muy poca influencia","Very Little"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","Some Influence","Some Influence","Algo de influencia","Etwas Einfluss","Un peu d'influence","Enige invloed","Etwas Einfluss","Algo de influencia","Some Influence"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","Quite a Bit","Quite a Bit","Suficiente influencia","Ziemlich viel","Pas mal d'influence","Best wat","Ziemlich viel","Suficiente influencia","Quite a Bit"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","A Great Deal","A Great Deal","Bastante influencia","Sehr viel","Beaucoup d'influence","Heel veel","Sehr viel","Bastante influencia","A Great Deal"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","on disruptive behavior in the classroom?","on disruptive behavior in the classroom?","en el comportamiento disruptivo en el salón?","auf störendes Verhalten im Klassenzimmer?","sur le comportement perturbateur dans la classe ?","op storend gedrag in de klas?","auf störendes Verhalten im Klassenzimmer?","en el comportamiento disruptivo en el salón?","classroom disruptive behavior?"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","to motivate children who show low interest in activities?","to motivate children who show low interest in activities?","para motivar a los niños(as) que muestran poco interés por las actividades?","um Kinder zu motivieren","die wenig Interesse an Aktivitäten zeigen?","pour motiver les enfants qui montrent peu d'intérêt pour les activités ?","om kinderen die weinig interesse in activiteiten tonen","te motiveren?","um Kinder zu motivieren"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","to get children to believe they can do well on activities?","to get children to believe they can do well on activities?","en que los niños(as) crean que pueden hacer bien las actividades?","um Kindern das Gefühl zu geben","dass sie Aktivitäten gut machen können?","à faire en sorte que les enfants croient pouvoir bien réussir les activités ?","om kinderen ervan te overtuigen dat ze goed kunnen presteren bij activiteiten?","um Kindern das Gefühl zu geben","dass sie Aktivitäten gut machen können?"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","to help children in your classroom(s) value learning?","to help children in your classroom(s) value learning?","para ayudar a los niños(as) de su(s) aula(s) a valorar el aprendizaje?","um Kindern in Ihrer (Ihren) Klasse(n) zu helfen","Bildung wertzuschätzen?","pour aider les enfants dans votre(s) classe(s) à valoriser l'apprentissage ?","om kinderen in uw klas(sen) te helpen leren waarderen?","um Kindern in Ihrer (Ihren) Klasse(n) zu helfen","Bildung wertzuschätzen?"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","on getting children to follow classroom rules?","on getting children to follow classroom rules?","para lograr que los niños(as) sigan las normas del salón?","um Kinder zu ermutigen","die Klassenzimmerregeln zu befolgen?","pour faire respecter les règles de la classe par les enfants ?","op kinderen de klasregels te laten volgen?","um Kinder zu ermutigen","die Klassenzimmerregeln zu befolgen?"
"TeacherBeliefTeachItemsInfluence","teacher_survey_general","on calming a child who is disruptive or noisy?","on calming a child who is disruptive or noisy?","para calmar a un niño(a) problemático(a) o ruidoso(a)?","um ein störendes oder lautes Kind zu beruhigen?","pour calmer un enfant perturbateur ou bruyant ?","om een storend of luid kind te kalmeren?","um ein störendes oder lautes Kind zu beruhigen?","para calmar a un niño(a) problemático(a) o ruidoso(a)?","on calming a child who is disruptive or noisy?"
"TeacherBeliefTeachItemsWell","teacher_survey_general","<b>How well can you...</b>","<b>How well can you...</b>","<b>¿Qué tan bien puede usted...</b>","<b>Wie gut können Sie...</b>","<b>Que pouvez-vous faire...</b>","<b>Hoe goed kunt u...</b>","<b>Wie gut können Sie...</b>","<b>¿Qué tan bien puede usted...</b>","<b>How proficient are you in the following...</b>"
"TeacherBeliefTeachItemsWell","teacher_survey_general","Not At All","Not At All","Nada bien","Gar nicht","Pas du tout","Helemaal niet","Gar nicht","Nada bien","Not At All"
"TeacherBeliefTeachItemsWell","teacher_survey_general","Very Little","Very Little","Un poco bien","Sehr wenig","Très peu d'influence","Zeer weinig","Sehr wenig","Un poco bien","Very Little"
"TeacherBeliefTeachItemsWell","teacher_survey_general","Somewhat","Somewhat","Algo bien","Einigermaßen","Un peu","Enigszins","Einigermaßen","Algo bien","Somewhat"
"TeacherBeliefTeachItemsWell","teacher_survey_general","Quite a Bit","Quite a Bit","Suficientemente bien","Ziemlich viel","Pas mal d'influence","Best wat","Ziemlich viel","Suficientemente bien","Quite a Bit"
"TeacherBeliefTeachItemsWell","teacher_survey_general","A Great Deal","A Great Deal","Bastante bien","Sehr viel","Beaucoup d'influence","Heel veel","Sehr viel","Bastante bien","A Great Deal"
"TeacherBeliefTeachItemsWell","teacher_survey_general","establish a classroom management system?","establish a classroom management system?","establecer un sistema de gestión de aula?","ein Klassenzimmer-Management-System etablieren?","établir un système de gestion de classe ?","een klassikale managementsysteem opzetten?","ein Klassenzimmer-Management-System etablieren?","establecer un sistema de gestión de aula?","developing a classroom management system?"
"TeacherBeliefTeachItemsWell","teacher_survey_general","use a variety of assessment strategies?","use a variety of assessment strategies?","utilizar diversas estrategias de evaluación?","eine Vielzahl von Bewertungsstrategien nutzen?","utiliser une variété de stratégies d'évaluation ?","diverse beoordelingsstrategieën gebruiken?","eine Vielzahl von Bewertungsstrategien nutzen?","utilizar diversas estrategias de evaluación?","employing diverse assessment methods?"
"TeacherBeliefTeachItemsWell","teacher_survey_general","provide alternative explanations or examples when children are confused?","provide alternative explanations or examples when children are confused?","proporcionar explicaciones alternativas o ejemplos cuando los niños(as) están confundidos?","alternative Erklärungen oder Beispiele bieten","wenn Kinder verwirrt sind?","fournir des explications alternatives ou des exemples lorsque les enfants sont confus ?","alternatieve uitleg of voorbeelden bieden wanneer kinderen verward zijn?","alternative Erklärungen oder Beispiele geben","wenn Kinder verwirrt sind?"
"TeacherBeliefTeachItemsWell","teacher_survey_general","assist families in helping their children do well in school?","assist families in helping their children do well in school?","ayudar a las familias a que sus hijos(as) les vaya bien en el colegio?","Familien unterstützen","damit sie ihren Kindern helfen","in der Schule erfolgreich zu sein?","aider les familles à ce que leurs enfants réussissent à l'école ?","gezinnen helpen hun kinderen te laten slagen op school?","Familien unterstützen"
"TeacherBeliefTeachItemsWell","teacher_survey_general","implement alternative strategies in your classroom(s)?","implement alternative strategies in your classroom(s)?","implementar estrategias alternas en su(s) aulas?","alternative Strategien in Ihrer (Ihren) Klasse(n) umsetzen?","mettre en œuvre des stratégies alternatives dans votre(s) classe(s) ?","alternatieve strategieën in uw klas(sen) implementeren?","alternative Strategien in Ihrer (Ihren) Klasse(n) umsetzen?","implementar estrategias alternas en su(s) aulas?","executing alternative strategies in your classrooms?"
"TeacherBeliefTeachItemsWell","teacher_survey_general","create good questions for children in your classroom(s)?","create good questions for children in your classroom(s)?","elaborar buenas preguntas para los niños(as) de su(s) aula(s)?","gute Fragen für Kinder in Ihrer (Ihren) Klasse(n) erstellen?","créer de bonnes questions pour les enfants dans votre(s) classe(s) ?","goede vragen maken voor kinderen in uw klas(sen)?","gute Fragen für Kinder in Ihrer (Ihren) Klasse(n) erstellen?","elaborar buenas preguntas para los niños(as) de su(s) aula(s)?","create good questions for children in your classroom(s)?"
"TeacherIdeasChildren","teacher_survey_general","<b>With this set of items","we wish to learn more about teachers' ideas and beliefs about children.</b>","<b>With this set of items","we wish to learn more about teachers' ideas and beliefs about children.</b>","<b>Con el siguiente grupo de preguntas deseamos conocer las ideas y creencias de los docentes sobre los niños(as).</b>","<b>Mit diesem Set von Fragen möchten wir mehr über die Ideen und Überzeugungen von Lehrern über Kinder erfahren.</b>","<b>Avec cet ensemble d'éléments","nous souhaitons en savoir plus sur les idées et les croyances des enseignants concernant les enfants.</b>","<b>Met deze set items willen we meer te weten komen over de ideeën en overtuigingen van docenten over kinderen.</b>"
"TeacherIdeasChildrenItems","teacher_survey_general","Please select one answer that indicates how strongly you agree with each of the following statements.","Please select one answer that indicates how strongly you agree with each of the following statements.","Por favor","seleccione una respuesta que indique hasta qué punto usted está de acuerdo con cada una de las siguientes afirmaciones.","Bitte wählen Sie eine Antwort aus","die angibt","wie sehr Sie den folgenden Aussagen zustimmen.","Veuillez sélectionner une réponse qui indique à quel point vous êtes d'accord avec chacune des affirmations suivantes.","Gelieve één antwoord te selecteren dat aangeeft hoe sterk u het eens bent met elk van de volgende uitspraken."
"TeacherIdeasChildrenItems","teacher_survey_general","Strongly Disagree","Strongly Disagree","Completamente en desacuerdo","Stark ablehnen","Fortement en désaccord","Sterk mee oneens","Stark ablehnen","Completamente en desacuerdo","Strongly Disagree"
"TeacherIdeasChildrenItems","teacher_survey_general","Mildly Disagree","Mildly Disagree","En desacuerdo","Leicht ablehnen","Légèrement en désaccord","Lichtelijk mee oneens","Leicht ablehnen","En desacuerdo","Mildly Disagree"
"TeacherIdeasChildrenItems","teacher_survey_general","Mildly Agree","Mildly Agree","De acuerdo","Leicht zustimmen","Légèrement d'accord","Lichtelijk mee eens","Leicht zustimmen","De acuerdo","Mildly Agree"
"TeacherIdeasChildrenItems","teacher_survey_general","Strongly Agree","Strongly Agree","Completamente de acuerdo","Stark zustimmen","Fortement d'accord","Sterk mee eens","Stark zustimmen","Completamente de acuerdo","Strongly Agree"
"TeacherIdeasChildrenItems","teacher_survey_general","Since parents lack special training in education","they should not question the teacher's teaching methods.","Since parents lack special training in education","they should not question the teacher's teaching methods.","Dado que los padres carecen de formación especial en educación","no deberían cuestionar los métodos de enseñanza del docente.","Da Eltern keine besondere Ausbildung im Bereich Bildung haben","sollten sie die Lehrmethoden der Lehrer nicht in Frage stellen.","Étant donné que les parents n'ont pas de formation spéciale en éducation"
"TeacherIdeasChildrenItems","teacher_survey_general","Children should be treated the same regardless of differences among them.","Children should be treated the same regardless of differences among them.","Los niños(as) deben recibir el mismo trato a pesar de sus diferencias.","Kinder sollten unabhängig von ihren Unterschieden gleich behandelt werden.","Les enfants devraient être traités de la même manière","quelles que soient leurs différences.","Kinderen moeten hetzelfde behandeld worden","ongeacht de verschillen tussen hen.","Kinder sollten unabhängig von ihren Unterschieden gleich behandelt werden."
"TeacherIdeasChildrenItems","teacher_survey_general","Children should always obey the teacher.","Children should always obey the teacher.","Los niños(as) siempre deben obedecer al docente.","Kinder sollten dem Lehrer immer gehorchen.","Les élèves devraient toujours obéir à l'enseignant.","Kinderen moeten altijd gehoor geven aan de docent.","Kinder sollten dem Lehrer immer gehorchen.","Los niños(as) siempre deben obedecer al docente.","Children should always obey the teacher."
"TeacherIdeasChildrenItems","teacher_survey_general","Preparing for the future is more important for a child than enjoying today.","Preparing for the future is more important for a child than enjoying today.","Prepararse para el futuro es más importante para un niño(a) que disfrutar del presente.","Für ein Kind ist es wichtiger","sich auf die Zukunft vorzubereiten","als die Gegenwart zu genießen.","Se préparer pour l'avenir est plus important pour un enfant que de profiter du moment présent.","Voorbereiden op de toekomst is voor een kind belangrijker dan het heden te genieten.","Für ein Kind ist es wichtiger"
"TeacherIdeasChildrenItems","teacher_survey_general","Children will not do the right thing unless they must.","Children will not do the right thing unless they must.","Los niños(as) no harán lo correcto a menos que tengan que hacerlo.","Kinder werden das Richtige nicht tun","es sei denn","sie müssen.","Les enfants ne feront pas ce qui est bien à moins qu'ils ne soient obligés.","Kinderen zullen het juiste niet doen","tenzij ze moeten."
"TeacherIdeasChildrenItems","teacher_survey_general","Children should be allowed to disagree with their parents if they feel their own ideas are better.","Children should be allowed to disagree with their parents if they feel their own ideas are better.","Los niños(as) deberían poder estar en desacuerdo con sus padres si creen que sus ideas son mejores.","Kinder sollten ihren Eltern widersprechen dürfen","wenn sie glauben","dass ihre eigenen Ideen besser sind.","Les enfants devraient être autorisés à être en désaccord avec leurs parents s'ils estiment que leurs idées sont meilleures.","Kinderen moeten het oneens kunnen zijn met hun ouders als zij vinden dat hun eigen ideeën beter zijn.","Kinder sollten ihren Eltern widersprechen dürfen"
"TeacherIdeasChildrenItems","teacher_survey_general","Children should be kept busy with work and study at home and at school.","Children should be kept busy with work and study at home and at school.","Los niños(as) deberían mantenerse ocupados con tareas y estudio en la casa y en el colegio.","Kinder sollten mit Aufgaben und Studium zu Hause und in der Schule beschäftigt sein.","Les enfants devraient être tenus occupés par le travail et l'étude à la maison et à l'école.","Kinderen moeten druk bezig gehouden worden met werk en studie thuis en op school.","Kinder sollten mit Aufgaben und Studium zu Hause und in der Schule beschäftigt sein.","Los niños(as) deberían mantenerse ocupados con tareas y estudio en la casa y en el colegio.","Children should stay busy with work and studies both at home and at school."
"TeacherIdeasChildrenItems","teacher_survey_general","The major goal of education is to put basic information into the minds of the children.","The major goal of education is to put basic information into the minds of the children.","El principal objetivo de la educación es introducir información básica en la mente de los niños(as).","Das Hauptziel der Bildung ist es","grundlegende Informationen in den Köpfen der Kinder zu verankern.","Le principal objectif de l'éducation est d'inculquer des informations de base aux enfants.","Het belangrijkste doel van onderwijs is om basale informatie in de hoofden van kinderen te stoppen.","Das Hauptziel der Bildung ist es","grundlegende Informationen in den Köpfen der Kinder zu verankern."
"TeacherIdeasChildrenItems","teacher_survey_general","In order to be fair","a teacher must treat all children alike.","In order to be fair","a teacher must treat all children alike.","Para ser justo","un docente debe tratar a todos los niños(as) por igual.","Um fair zu sein","muss ein Lehrer alle Kinder gleichermaßen behandeln.","Pour être juste"
"TeacherIdeasChildrenItems","teacher_survey_general","The most important thing to teach children is absolute obedience to whoever is in authority.","The most important thing to teach children is absolute obedience to whoever is in authority.","La lección más importante para enseñarle a un niño(a) es obediencia absoluta a quien tiene la autoridad.","Das Wichtigste","was man Kindern beibringen sollte","ist der absolute Gehorsam gegenüber allen Autoritäten.","La chose la plus importante à apprendre aux enfants est l'obéissance absolue à ceux qui sont en position d'autorité.","Het belangrijkste om kinderen te leren is absolute gehoorzaamheid aan wie er gezag heeft.","Das Wichtigste"
"TeacherIdeasChildrenItems","teacher_survey_general","Children learn best by doing things themselves rather than listening to others.","Children learn best by doing things themselves rather than listening to others.","Los niños(as) aprenden mejor haciendo las cosas ellos(as) mismos(as) que escuchando a otros(as).","Kinder lernen am besten","indem sie Dinge selbst tun","anstatt anderen zuzuhören.","Les enfants apprennent mieux en faisant eux-mêmes des choses plutôt qu'en écoutant les autres.","Kinderen leren het best door dingen zelf te doen in plaats van naar anderen te luisteren.","Kinder lernen am besten"
"TeacherIdeasChildrenItems","teacher_survey_general","Children must be carefully trained early in life or their natural impulses will make them unmanageable.","Children must be carefully trained early in life or their natural impulses will make them unmanageable.","Los niños(as) deben ser entrenados(as) cuidadosamente desde muy pequeños o sus impulsos naturales los harán inmanejables.","Kinder müssen von klein auf sorgfältig erzogen werden","sonst machen sie ihre natürlichen Impulse unbeherrschbar.","Les enfants doivent être formés soigneusement dès leur jeune âge ou leurs impulsions naturelles les rendront ingérables.","Kinderen moeten van jongs af aan zorgvuldig worden opgeleid","anders zullen hun natuurlijke impulsen hen onbeheerbaar maken.","Kinder müssen von klein auf sorgfältig erzogen werden"
"TeacherIdeasChildrenItems","teacher_survey_general","Children have a right to their own point of view and should be allowed to express it.","Children have a right to their own point of view and should be allowed to express it.","Los niños(as) tienen derecho a tener su propio punto de vista y se les debe permitir expresarlo.","Kinder haben das Recht auf ihren eigenen Standpunkt und sollten diesen auch äußern dürfen.","Les enfants ont le droit à leur propre point de vue et doivent être autorisés à l'exprimer.","Kinderen hebben recht op hun eigen mening en moeten deze mogen uiten.","Kinder haben das Recht auf ihren eigenen Standpunkt und sollten diesen auch äußern dürfen.","Los niños(as) tienen derecho a tener su propio punto de vista y se les debe permitir expresarlo.","Children should have the freedom to express their viewpoints."
"TeacherIdeasChildrenItems","teacher_survey_general","Children's learning results mainly from being presented basic information again and again.","Children's learning results mainly from being presented basic information again and again.","El aprendizaje en los niños(as) resulta de que se les presente información básica una y otra vez.","Das Lernen der Kinder resultiert hauptsächlich daraus","dass sie wiederholt mit grundlegenden Informationen konfrontiert werden.","L'apprentissage des enfants résulte principalement de la présentation répétée d'informations de base.","Het leren van kinderen komt voornamelijk voort uit het herhaaldelijk geboden worden van basisinformatie.","Das Lernen der Kinder resultiert hauptsächlich daraus","dass sie wiederholt mit grundlegenden Informationen konfrontiert werden."
"TeacherIdeasChildrenItems","teacher_survey_general","Children like to teach other children.","Children like to teach other children.","A los niños(as) les gusta enseñarle a otros niños(as).","Kinder unterrichten gerne andere Kinder.","Les enfants aiment enseigner à d'autres enfants.","Kinderen vinden het leuk om andere kinderen les te geven.","Kinder unterrichten gerne andere Kinder.","A los niños(as) les gusta enseñarle a otros niños(as).","Children enjoy teaching their peers."
"TeacherIdeasChildrenItems","teacher_survey_general","The most important thing to teach children is absolute obedience to parents.","The most important thing to teach children is absolute obedience to parents.","Lo más importante que hay que enseñar a los niños(as) es la obediencia absoluta a los padres.","Das Wichtigste","was man Kindern beibringen sollte","ist der absolute Gehorsam gegenüber den Eltern.","La chose la plus importante à apprendre aux enfants est l'obéissance absolue aux parents.","Het belangrijkste voor kinderen om te leren is absolute gehoorzaamheid aan de ouders.","The most important thing to teach children is absolute obedience to parents."
"navigation.startSurvey","teacher_survey_general","Start Survey","Start Survey","Start Survey","Umfrage starten","Start Survey","Start Survey","Umfrage starten","Start Survey","Start Survey"
"navigation.previous","teacher_survey_general","Previous","Previous","Previous","Zurück","Previous","Previous","Zurück","Previous","Previous"
"navigation.next","teacher_survey_general","Next","Next","Next","Weiter","Next","Next","Weiter","Next","Next"
"navigation.finish","teacher_survey_general","Finish","Finish","Finish","Beenden","Finish","Finish","Beenden","Finish","Finish"
