item_id,labels,en,es,de,fr,nl,it,pt
parent_survey_child_233,ChildPubertyGrowthFemale,Has barely started to spurt,Apenas inició el estirón,Kaum mit dem Spurt begonnen,A à peine commencé à faire une poussée,Is nauwelijks begonnen te groeien,,
parent_survey_child_234,ChildPubertyGrowthFemale,Has definitely started to happen but is not finished,Definitivamente está en el estirón pero aún no ha terminado,Definitiv begonnen aber ist noch nicht abgeschlossen,A certainement commencé mais n'est pas terminé,Is duidelijk begonnen maar is nog niet af,,
parent_survey_child_235,ChildPubertyGrowthFemale,Seems completed (child is about as tall as she is going to get),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Lijkt voltooid (kind is ongeveer zo groot als zij zal worden),,
parent_survey_child_236,ChildPubertyHairFemale,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,"¿Qué diría usted del crecimiento del vello corporal del niña (por ejemplo, en las axilas)? Diría que el vello corporal de su niña:","Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:","Qu'en est-il de la croissance des poils corporels (par exemple, sous les bras)? Diriez-vous que les poils corporels de votre enfant:",Hoe zit het met de groei van lichaamsbeharing (bijv. onder de armen)? Zou u zeggen dat de lichaamsbeharing van uw kind:,,
parent_survey_child_237,ChildPubertyHairFemale,Has not started growing,No ha empezado a crecer,Noch nicht begonnen hat zu wachsen,N'a pas commencé à pousser,Nog niet begonnen met groeien,,
parent_survey_child_238,ChildPubertyHairFemale,Has barely started growing,Apenas ha empezado a crecer,Kaum begonnen hat zu wachsen,A à peine commencé à pousser,Is nauwelijks begonnen met groeien,,
parent_survey_child_239,ChildPubertyHairFemale,Has definitely started growing but is not finished,Sí está creciendo pero no ha terminado,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,A clairement commencé à pousser mais n'est pas terminé,Is duidelijk begonnen te groeien maar is nog niet af,,
parent_survey_child_240,ChildPubertyHairFemale,Seems completed (child has as much body hair as she is going to get),Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Lijkt voltooid (kind heeft zoveel lichaamsbeharing als hij/zij zal krijgen),,
parent_survey_child_241,ChildPubertySkinFemale,"Have you noticed any skin changes, especially pimples?","¿Ha notado algún cambio en la piel, especialmente acné?","Haben Sie Hautveränderungen, insbesondere Pickel, festgestellt?","Avez-vous remarqué des changements cutanés, notamment des boutons?","Heeft u enige huidveranderingen opgemerkt, vooral puistjes?",,
parent_survey_child_242,ChildPubertySkinFemale,Not yet started showing changes,No ha empezado a mostrar cambios,Es hat noch nicht damit begonnen,N’a pas encore commencé à montrer des changements,Nog niet begonnen met het tonen van veranderingen,,
parent_survey_child_243,ChildPubertySkinFemale,Have barely started showing changes,Apenas ha empezado a mostrar cambios,"Es hat gerade erst damit begonnen, dass sich Änderungen zeigen",A à peine commencé à montrer des changements,Is nauwelijks begonnen met het tonen van veranderingen,,
parent_survey_child_244,ChildPubertySkinFemale,Skin changes have definitely started but are not finished,Los cambios en la piel han empezado pero no han terminado,"Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen",Les changements cutanés ont clairement commencé mais ne sont pas terminés,Huidveranderingen zijn duidelijk begonnen maar nog niet afgerond,,
parent_survey_child_245,ChildPubertySkinFemale,Skin changes seem completed,Parece que los cambios en la piel han terminado,Hautänderungen scheinen abgeschlossen zu sein,Les changements cutanés semblent terminés,Huidveranderingen lijken voltooid te zijn,,
parent_survey_child_246,ChildPubertyBreastFemale,Have your child's breasts begun to grow?,¿Los pechos de su niña han empezado a crecer?,Hat das Brustwachstum Ihres Kindes begonnen?,Les seins de votre enfant ont-ils commencé à pousser?,Zijn de borsten van uw kind begonnen te groeien?,,
parent_survey_child_247,ChildPubertyBreastFemale,Not yet started growing,No han empezado a crecer,Es hat noch nicht begonnen,N’a pas encore commencé à pousser,Nog niet begonnen met groeien,,
parent_survey_child_248,ChildPubertyBreastFemale,Have barely started growing,Apenas han empezado a crecer,Es hat gerade erst begonnen,A à peine commencé à pousser,Zijn nauwelijks begonnen met groeien,,
parent_survey_child_249,ChildPubertyBreastFemale,Breast growth has definitely started but is not finished,Han empezado pero no han terminado,"Brustwachstum hat definitiv begonnen, ist aber noch nicht abgeschlossen",La croissance des seins a clairement commencé mais n'est pas terminée,Borstgroei is duidelijk begonnen maar nog niet afgerond,,
parent_survey_child_250,ChildPubertyBreastFemale,Breast growth seems completed,Parece que el crecimiento de los pechos ha terminado,Das Brustwachstum scheint abgeschlossen zu sein,La croissance des seins semble terminée,Borstgroei lijkt voltooid,,
parent_survey_child_251,ChildPubertyMenstruate,Has your child begun to menstruate?,¿Su niña ya tuvo su primera menstruación?,Hat bei Ihrem Kind die Menstruation bereits begonnen?,Votre enfant a-t-il commencé à avoir ses règles?,Is uw kind begonnen te menstrueren?,,
parent_survey_child_252,ChildPubertyMenstruate,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_253,ChildPubertyMenstruate,No,No,Nein,Non,Nee,,
parent_survey_child_254,ChildPubertyMenstruateAge,"If yes, how old was your child when she first got her period?","De ser así, ¿cuántos años tenía su niña cuando tuvo su primera menstruación?",Hat bei Ihrem Kind die Menstruation bereits begonnen?,"Si oui, quel âge avait votre enfant lorsqu'elle a eu ses premières règles?","Zo ja, hoe oud was uw kind toen zij voor het eerst ongesteld werd?",,
parent_survey_child_255,ChildPubertyMenstruateAge,years of age,Edad,Lebensjahre,ans,leeftijdsjaren,,
parent_survey_child_256,ChildPubertyMale,"For each question, please select the answer that best describes what is happening to your child right now.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was Ihrem Kind im Moment passiert.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.",Kies voor elke vraag het antwoord dat het beste beschrijft wat er momenteel met uw kind gebeurt.,,
parent_survey_child_257,ChildPubertyGrowthMale,Would you say that your child's growth in height (getting taller):,¿Qué diría usted del crecimiento de su niño (en estatura):,Was würdem Sie über das Wachstum Ihres Kindes in der Höhe (größer werden) sagen:,Diriez-vous que la croissance en taille de votre enfant (s'allonger):,Zou u zeggen dat de groei in lengte van uw kind (groter worden):,,
parent_survey_child_258,ChildPubertyGrowthMale,"Has not yet begun to spurt (""spurt"" means more growth than usual)","No ha empezado el estirón (""estirón"" significa un crecimiento acelerado)","Noch nicht mit dem Spurt (""Spurt"" bedeutet schneller wachsen als üblich) begonnen","N’a pas encore commencé à faire une poussée (""poussée"" signifie plus de croissance que la normale)","Nog niet begonnen te groeien (""spurt"" betekent meer groei dan normaal)",,
parent_survey_child_259,ChildPubertyGrowthMale,Has barely started to spurt,Apenas inició el estirón,Kaum mit dem Spurt begonnen,A à peine commencé à faire une poussée,Is nauwelijks begonnen te groeien,,
parent_survey_child_260,ChildPubertyGrowthMale,Has definitely started to happen but is not finished,Definitivamente está en el estirón pero aún no ha terminado,Definitiv begonnen aber ist noch nicht abgeschlossen,A certainement commencé mais n'est pas terminé,Is duidelijk begonnen maar is nog niet af,,
parent_survey_child_261,ChildPubertyGrowthMale,Seems completed (child is about as tall as she is going to get),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Lijkt voltooid (kind is ongeveer zo groot als zij zal worden),,
parent_survey_child_262,ChildPubertyHairMale,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,"¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:","Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:","Qu'en est-il de la croissance des poils corporels (par exemple, sous les bras)? Diriez-vous que les poils corporels de votre enfant:",Hoe zit het met de groei van lichaamsbeharing (bijv. onder de armen)? Zou u zeggen dat de lichaamsbeharing van uw kind:,,
parent_survey_child_263,ChildPubertyHairMale,Has not started growing,No ha empezado a crecer,Noch nicht begonnen hat zu wachsen,N'a pas commencé à pousser,Nog niet begonnen met groeien,,
parent_survey_child_264,ChildPubertyHairMale,Has barely started growing,Apenas ha empezado a crecer,Kaum begonnen hat zu wachsen,A à peine commencé à pousser,Is nauwelijks begonnen met groeien,,
parent_survey_child_265,ChildPubertyHairMale,Has definitely started growing but is not finished,Definitivamente ha empezado a crecer pero no ha terminado,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,A clairement commencé à pousser mais n'est pas terminé,Is duidelijk begonnen te groeien maar is nog niet af,,
parent_survey_child_266,ChildPubertyHairMale,Seems completed (child has as much body hair as she is going to get),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Lijkt voltooid (kind heeft zoveel lichaamsbeharing als hij/zij zal krijgen),,
parent_survey_child_267,ChildPubertySkinMale,"Have you noticed any skin changes, especially pimples?","¿Ha notado algún cambio en la piel, especialmente acné?","Haben Sie Hautveränderungen, insbesondere Pickel, festgestellt?","Avez-vous remarqué des changements cutanés, notamment des boutons?","Heeft u enige huidveranderingen opgemerkt, vooral puistjes?",,
parent_survey_child_268,ChildPubertySkinMale,Not yet started showing changes,No ha empezado a mostrar cambios,Veränderungen haben noch nicht begonnen,N’a pas encore commencé à montrer des changements,Nog niet begonnen met het tonen van veranderingen,,
parent_survey_child_269,ChildPubertySkinMale,Have barely started showing changes,Apenas ha empezado a mostrar cambios,Erste Änderungen zeigen sich langsam,A à peine commencé à montrer des changements,Is nauwelijks begonnen met het tonen van veranderingen,,
parent_survey_child_270,ChildPubertySkinMale,Skin changes have definitely started but are not finished,Los cambios en la piel han empezado pero no han terminado,"Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen",Les changements cutanés ont clairement commencé mais ne sont pas terminés,Huidveranderingen zijn duidelijk begonnen maar nog niet afgerond,,
parent_survey_child_271,ChildPubertySkinMale,Skin changes seem completed,Parece que los cambios en la piel han terminado,Hautänderungen scheinen abgeschlossen zu sein,Les changements cutanés semblent terminés,Huidveranderingen lijken voltooid te zijn,,
parent_survey_child_272,ChildPubertyVoiceMale,Has your child's voice started to change?,¿Ha empezado a cambiar la voz de su niño?,"Hat die Stimme Ihres Kindes begonnen, sich zu verändern?",La voix de votre enfant a-t-elle commencé à changer?,Is de stem van uw kind begonnen te veranderen?,,
parent_survey_child_273,ChildPubertyVoiceMale,Not yet started to change,No ha empezado a cambiar,"Sie hat noch nicht angefangen, sich zu verändern",N'a pas encore commencé à changer,Nog niet begonnen met veranderen,,
parent_survey_child_274,ChildPubertyVoiceMale,Has barely started changing,Apenas ha empezado a cambiar,"Sie hat kaum angefangen, sich zu verändern",A à peine commencé à changer,Is nauwelijks begonnen te veranderen,,
parent_survey_child_275,ChildPubertyVoiceMale,Voice change is definitely happening but is not finished,"El cambio de voz está ocurriendo, pero no ha terminado","Der Stimmbruch findet definitiv statt, ist aber noch nicht abgeschlossen",Le changement de voix est clairement en cours mais n'est pas terminé,Stembeugel is duidelijk aan het plaatsvinden maar nog niet voltooid,,
parent_survey_child_276,ChildPubertyVoiceMale,Voice change seems completed,El cambio de voz parece haber terminado,Der Stimmbruch scheint abgeschlossen zu sein,Le changement de voix semble terminé,Stembeugel lijkt voltooid,,
parent_survey_child_277,ChildPubertyFaceHairMale,Has your child started to grow facial hair (beard or mustache)?,¿Le ha empezado a crecer el vello facial (barba o bigote)?,Hat bei Ihrem Kind die Gesichtsbehaarung (Bart oder Schnurrbart) begonnen?,Votre enfant a-t-il commencé à développer des poils faciaux (barbe ou moustache)?,Is uw kind begonnen met het laten groeien van gezichtshaar (baard of snor)?,,
parent_survey_child_278,ChildPubertyFaceHairMale,Not yet started growing facial hair,No ha empezado a crecerle el vello facial,Die Gesichtsbehaarung hat noch nicht begonnen,N’a pas encore commencé à pousser des poils faciaux,Nog niet begonnen met het laten groeien van gezichtshaar,,
parent_survey_child_279,ChildPubertyFaceHairMale,Has barely started growing facial hair,Apenas ha empezado a crecerle el vello facial,Die Gesichtsbehaarung hat gerade erst begonnen,A à peine commencé à pousser des poils faciaux,Is nauwelijks begonnen met het laten groeien van gezichtshaar,,
parent_survey_child_280,ChildPubertyFaceHairMale,Hair growth has definitely started (enough to shave),El vello facial ha empezado a crecer (lo suficiente como para afeitarse),"Das Haarwachstum hat definitiv begonnen (genug, um sich zu rasieren)",La croissance des poils a clairement commencé (suffisamment pour se raser),Het groeien van haar is duidelijk begonnen (voldoende om te scheren),,
parent_survey_child_281,ChildPubertyFaceHairMale,Probably grows now as fast as it will ever grow,Parece que ya crece a la velocidad que lo hará a futuro,"Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann",La croissance est probablement maintenant aussi rapide qu'elle ne le sera jamais,Waarschijnlijk groeit het nu zo snel als het ooit zal groeien,,
parent_survey_child_282,ChildSleep,Please respond to each statement about your child's sleep habits.,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Veuillez répondre à chaque affirmation sur les habitudes de sommeil de votre enfant.,Beantwoord alstublieft elke uitspraak over de slaappatronen van uw kind.,,
parent_survey_child_283,ChildSleepHabits,In the <b>past 7 days</b>....,En los <b>últimos 7 días</b>…,In den <b>letzten 7 Tagen</b>...,Au cours des <b>7 derniers jours</b>....,In de <b>afgelopen 7 dagen</b>...,,
parent_survey_child_284,ChildSleepHabits,Rarely (0-1 times per week),Rara vez (0-1 veces por semana),Selten (0-1 Mal pro Woche),Rarement (0-1 fois par semaine),Zelden (0-1 keer per week),,
parent_survey_child_285,ChildSleepHabits,Sometimes (2-4 times per week),A veces (2-4 veces por semana),Manchmal (2-4 Mal pro Woche),Parfois (2-4 fois par semaine),Af en toe (2-4 keer per week),,
parent_survey_child_286,ChildSleepHabits,Usually (5 or more times per week),Habitualmente (5 o más veces por semana),Häufig (5 oder mehr Mal pro Woche),Habituellement (5 fois ou plus par semaine),Meestal (5 of meer keer per week),,
parent_survey_child_287,ChildSleepHabits,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).,A su niño(a) le costó dormirse (tardó más de  20 minutos en dormirse).,Ihr Kind hatte Schwierigkeiten beim Einschlafen (schlief nicht innerhalb von 20 Minuten nach dem Zubettgehen ein).,Votre enfant a eu du mal à s'endormir (ne s'est pas endormi dans les 20 minutes suivant le coucher).,Uw kind had moeite om in slaap te vallen (viel niet binnen 20 minuten na het naar bed gaan in slaap).,,
parent_survey_child_288,ChildSleepHabits,Your child had difficulty sleeping through the night (woke up once or more during the night).,Su niño(a) tuvo dificultades para dormir toda la noche (se despertó una o más veces durante la noche).,"Ihr Kind hatte Schwierigkeiten, die Nacht durchzuschlafen (es wachte einmal oder öfter in der Nacht auf).",Votre enfant a eu des difficultés à dormir toute la nuit (s'est réveillé une fois ou plus pendant la nuit).,Uw kind had moeite om de nacht door te slapen (werd één of meerdere keren per nacht wakker).,,
parent_survey_child_289,ChildSleepHabits,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Votre enfant se couchait à peu près à la même heure les soirs de semaine (lundi-vendredi).,Uw kind ging op ongeveer dezelfde tijd naar bed tijdens doordeweekse avonden (maandag-vrijdag).,,
parent_survey_child_290,ChildSleepHours,"<b>DURING THE PAST WEEK</b>, about how many hours of sleep per night did your child usually get on the weeknights (Monday-Friday)?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántas horas durmió normalmente su niño(a) durante la semana por noche (de lunes a viernes)?",Wie viele Stunden Schlaf pro Nacht konnte Ihr Kind in der Regel an den Wochentagen <b>WÄHREND DER VERGANGENEN WOCHE</b> bekommen?,"<b>AU COURS DE LA SEMAINE PASSÉE</b>, combien d'heures de sommeil votre enfant a-t-il généralement obtenu par nuit pendant les jours de semaine (lundi-vendredi)?","<b>IN DE AFGELOPEN WEEK</b>, hoeveel uur slaap kreeg uw kind meestal per nacht door de week (maandag-vrijdag)?",,
parent_survey_child_291,ChildSleepHours,Less than 6 hours,Menos de 6 horas,Weniger als 6 Stunden,Moins de 6 heures,Minder dan 6 uur,,
parent_survey_child_292,ChildSleepHours,6 hours,6 horas,6 Stunden,6 heures,6 uur,,
parent_survey_child_293,ChildSleepHours,7 hours,7 horas,7 Stunden,7 heures,7 uur,,
parent_survey_child_294,ChildSleepHours,8 hours,8 horas,8 Stunden,8 heures,8 uur,,
parent_survey_child_295,ChildSleepHours,9 hours,9 horas,9 Stunden,9 heures,9 uur,,
parent_survey_child_296,ChildSleepHours,10 hours,10 horas,10 Stunden,10 heures,10 uur,,
parent_survey_child_297,ChildSleepHours,11 hours or more,11 horas o más,11 Stunden oder mehr,11 heures ou plus,11 uur of meer,,
parent_survey_child_298,CaregiverSectionIntro2,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Esta sección indaga por el comportamiento y la interacción social de su niño(a).,<block><b><font face=Verdana size=4>In diesem Abschnitt wird nach dem Verhalten und sozialen Interaktionen Ihres Kindes gefragt.,<block><b><font face=Verdana size=4>Cette section pose des questions sur le comportement et l'interaction sociale de votre enfant.,<block><b><font face=Verdana size=4>Dit gedeelte gaat over het gedrag en de sociale interactie van uw kind.,,
parent_survey_child_299,ChildSDQitems,"For each item, please mark ""Not at all"", ""Not very well"", ""Somewhat well"", or ""Very well"" to indicate <i>how well</i> the sentence applies to your child. Please answer all items as best you can even if you are not absolutely certain.","Para cada frase, indique <i>qué tanto</i> describe a su niño(a) con las siguientes opciones: ""Para nada"", ""Un poco"", ""Bastante"" o ""Completamente"". Le agradecemos que responda a las preguntas lo mejor que pueda, aunque no esté completamente seguro(a).","Bitte markieren Sie zu jeder Aussage, wie gut diese auf Ihr Kind zutrifft: ""Trifft überhaupt nicht zu"", ""Trifft eher nicht zu"", ""Trifft eher zu"" oder ""Trifft voll und ganz zu"". Beantworten Sie bitte alle Fragen so gut Sie können, selbst wenn Sie sich nicht ganz sicher sind.","Pour chaque élément, veuillez cocher ""Pas du tout"", ""Pas très bien"", ""Assez bien"" ou ""Très bien"" pour indiquer <i>à quel point</i> la phrase s'applique à votre enfant. Veuillez répondre à tous les éléments du mieux que vous pouvez, même si vous n'êtes pas absolument certain.","Voor elk item, markeer ""Helemaal niet"", ""Niet zo goed"", ""Redelijk goed"" of ""Heel goed"" om aan te geven <i>hoe goed</i> de zin van toepassing is op uw kind. Beantwoord alle items zo goed mogelijk, zelfs als u niet helemaal zeker bent.",,
parent_survey_child_300,ChildSDQitems,Not at all,Para nada,Trifft überhaupt nicht zu,Pas du tout,Helemaal niet,,
parent_survey_child_301,ChildSDQitems,Not very well,Un poco,Trifft eher nicht zu,Pas très bien,Niet zo goed,,
parent_survey_child_302,ChildSDQitems,Somewhat well,Bastante,Trifft eher zu,Assez bien,Redelijk goed,,
parent_survey_child_303,ChildSDQitems,Very well,Completamente,Trifft voll und ganz zu,Très bien,Heel goed,,
parent_survey_child_304,ChildSDQitems,Your child has difficulty staying still or shows periods of over-activity.,Su niño(a) tiene dificultades para permanecer quieto o tiene periodos de hiperactividad.,"Ihr Kind hat Schwierigkeiten, still zu halten oder zeigt Phasen der Überaktivität.",Votre enfant a des difficultés à rester immobile ou montre des périodes d'hyperactivité.,Uw kind heeft moeite om stil te zitten of vertoont perioden van overactiviteit.,,
parent_survey_child_305,ChildSDQitems,"Your child often complains about feeling sick (ex: headache, stomach ache).","Su niño(a) se queja a menudo de sentirse enfermo (por ejemplo, dolor de cabeza o de estómago).",Ihr Kind klagt häufig über Unwohlsein (z. B. Kopf- oder Bauchschmerzen).,"Votre enfant se plaint souvent de se sentir malade (ex: maux de tête, maux d'estomac).","Uw kind klaagt vaak over zich ziek voelen (bijv: hoofdpijn, buikpijn).",,
parent_survey_child_306,ChildSDQitems,Your child avoids others or prefers to spend time alone.,Su niño(a) evita a los demás o prefiere pasar tiempo solo.,Ihr Kind meidet andere oder verbringt lieber Zeit allein.,Votre enfant évite les autres ou préfère passer du temps seul.,Uw kind vermijdt anderen of geeft de voorkeur aan tijd alleen doorbrengen.,,
parent_survey_child_307,ChildSDQitems,Your child is often worried or anxious.,Su niño(a) suele estar preocupado o ansioso.,Ihr Kind ist oft besorgt oder ängstlich.,Votre enfant est souvent inquiet ou anxieux.,Uw kind maakt zich vaak zorgen of is angstig.,,
parent_survey_child_308,ChildSDQitems,You child frequently fidgets.,Su niño(a) está inquieto con frecuencia.,Ihr Kind zappelt häufig herum.,Votre enfant gigote fréquemment.,Uw kind friemelt vaak.,,
parent_survey_child_309,ChildSDQitems,Your child has one (or more) good friends.,Su niño(a) tiene uno(a) (o más) buenos amigos(as).,Ihr Kind hat einen (oder mehrere) gute Freunde.,Votre enfant a un (ou plusieurs) bons amis.,Uw kind heeft een (of meer) goede vrienden.,,
parent_survey_child_310,ChildSDQitems,"You child often seems sad, depressed, or down.","Su niño(a) parece triste, deprimido o decaído con frecuencia.","Ihr Kind wirkt oft traurig, deprimiert oder niedergeschlagen.","Votre enfant semble souvent triste, déprimé ou abattu.","Uw kind lijkt vaak verdrietig, depressief of down.",,
parent_survey_child_311,ChildSDQitems,Your child gets along with other children.,Su niño(a) se lleva bien con otros niños.,Ihr Kind versteht sich mit anderen Kindern.,Votre enfant s'entend bien avec d'autres enfants.,Uw kind kan goed opschieten met andere kinderen.,,
parent_survey_child_312,ChildSDQitems,Your child gets distracted easily or has trouble staying on task.,Su niño(a) se distrae con facilidad o le cuesta concentrarse.,"Ihr Kind lässt sich leicht ablenken oder hat Schwierigkeiten, bei der Sache zu bleiben.",Votre enfant se distrait facilement ou a du mal à rester concentré.,Uw kind laat zich gemakkelijk afleiden of heeft moeite om gefocust te blijven.,,
parent_survey_child_313,ChildSDQitems,Your child is shy or clingy.,Su niño(a) es tímido o apegado.,Ihr Kind ist schüchtern oder anhänglich.,Votre enfant est timide ou collant.,Uw kind is verlegen of aanhankelijk.,,
parent_survey_child_314,ChildSDQitems,Your child treats younger children nicely.,Su niño(a) trata bien a los niños(as) más pequeños.,Ihr Kind geht freundlich mit jüngeren Kindern um.,Votre enfant traite gentiment les enfants plus jeunes.,Uw kind behandelt jongere kinderen vriendelijk.,,
parent_survey_child_315,ChildSDQitems,"Your child often shows dishonest behavior (e.g. lying, cheating).","Su niño(a) muestra a menudo un comportamiento deshonesto (por ejemplo, miente, engaña).","Ihr Kind zeigt oft unehrliches Verhalten (z. B. lügen, betrügen).","Votre enfant montre souvent un comportement malhonnête (ex: mensonge, triche).","Uw kind vertoont vaak oneerlijk gedrag (bijv. liegen, spieken).",,
parent_survey_child_316,ChildSDQitems,"Your child has taken things without permission from home, school, or elsewhere.","Su niño(a) ha tomado cosas sin permiso de la casa, del colegio o de otro sitio.","Ihr Kind hat ohne Erlaubnis Dinge von zu Hause, aus der Schule oder von anderswo mitgenommen.","Votre enfant a pris des choses sans permission de la maison, de l'école ou d'ailleurs.","Uw kind heeft dingen zonder toestemming meegenomen van thuis, school of elders.",,
parent_survey_child_317,ChildSDQitems,Your child prefers adults to children.,Su niño(a) prefiere a los adultos que a los niños.,Ihr Kind bevorzugt Erwachsene gegenüber Kindern.,Votre enfant préfère les adultes aux enfants.,Uw kind geeft de voorkeur aan volwassenen boven kinderen.,,
parent_survey_child_318,ChildSDQitems,Your child is often nervous or fearful.,Su niño(a) suele estar nervioso o temeroso.,Ihr Kind ist oft nervös oder ängstlich.,Votre enfant est souvent nerveux ou craintif.,Uw kind is vaak nerveus of bang.,,
parent_survey_child_319,ChildSCSitems,Please indicate <i>how well</i> each statement describes your child.,"Por favor, indique <i>qué tanto</i> describe cada enunciado a su niño(a).","Bitte geben Sie an, <b>wie gut</b> jede Aussage Ihr Kind beschreibt.",Veuillez indiquer <i>à quel point</i> chaque déclaration décrit votre enfant.,Geef aan <i>hoe goed</i> elke uitspraak uw kind beschrijft.,,
parent_survey_child_320,ChildSCSitems,Not at all,Para nada,Stimmt überhaupt nicht zu,Pas du tout,Helemaal niet,,
parent_survey_child_321,ChildSCSitems,Not very well,Un poco,Stimmt eher nicht zu,Pas très bien,Niet zo goed,,
parent_survey_child_322,ChildSCSitems,Somewhat well,Bastante,Stimmt eher zu,Assez bien,Redelijk goed,,
parent_survey_child_323,ChildSCSitems,Very well,Completamente,Stimmt voll und ganz zu,Très bien,Heel goed,,
parent_survey_child_324,ChildSCSitems,Your child accepts things when they do not go their way.,Su niño(a) acepta las cosas cuando no salen como quiere.,"Ihr Kind akzeptiert die Dinge, wenn sie nicht seinen Vorstellungen entsprechen.",Votre enfant accepte les choses quand elles ne vont pas dans son sens.,Uw kind accepteert dingen als ze niet gaan zoals zij willen.,,
parent_survey_child_325,ChildSCSitems,Your child copes well with failure.,Su niño(a) afronta bien el fracaso.,Ihr Kind kann gut mit Misserfolgen umgehen.,Votre enfant gère bien l'échec.,Uw kind gaat goed om met falen.,,
parent_survey_child_326,ChildSCSitems,Your child thinks before acting.,Su niño(a) piensa antes de actuar.,"Ihr Kind denkt nach, bevor es handelt.",Votre enfant réfléchit avant d'agir.,Uw kind denkt na voordat zij handelen.,,
parent_survey_child_327,ChildSCSitems,Your child resolves problems with friends on their own.,Su niño(a) resuelve por sí mismo los problemas con sus amigos.,Ihr Kind löst Probleme mit Freunden selbständig.,Votre enfant résout seul les problèmes avec ses amis.,Uw kind lost zelf problemen op met vrienden.,,
parent_survey_child_328,ChildSCSitems,Your child can calm down when excited.,Su niño(a) sabe calmarse cuando se altera.,"Ihr Kind kann sich beruhigen, wenn es aufgeregt ist.",Votre enfant peut se calmer quand il est excité.,Uw kind kan zichzelf kalmeren wanneer zij opgewonden zijn.,,
parent_survey_child_329,ChildSCSitems,Your child does what they are told to do.,Su niño(a) hace lo que se le pide.,"Ihr Kind tut, was ihm gesagt wird.",Votre enfant fait ce qu'on lui dit de faire.,Uw kind doet wat haar gevraagd wordt te doen.,,
parent_survey_child_330,ChildSCSitems,Your child is good at understanding others' feelings.,Su niño(a) comprende bien los sentimientos de los demás.,"Ihr Kind ist gut darin, die Gefühle anderer zu verstehen.",Votre enfant est doué pour comprendre les sentiments des autres.,Uw kind is goed in het begrijpen van de gevoelens van anderen.,,
parent_survey_child_331,ChildSCSitems,Your child controls their temper when there is a disagreement.,Su niño(a) controla su carácter cuando hay desacuerdos.,"Ihr Kind beherrscht sein Temperament, wenn es eine Meinungsverschiedenheit gibt.",Votre enfant contrôle sa colère lorsqu'il y a un désaccord.,Uw kind beheerst zijn/haar humeur bij een meningsverschil.,,
parent_survey_child_332,ChildSCSitems,Your child shares things with others.,Su niño(a) comparte las cosas con los demás.,Ihr Kind teilt Dinge mit anderen.,Votre enfant partage ses affaires avec les autres.,Uw kind deelt dingen met anderen.,,
parent_survey_child_333,ChildSCSitems,Your child is helpful to others.,Su niño(a) ayuda a los demás.,Ihr Kind ist hilfsbereit gegenüber anderen.,Votre enfant est serviable avec les autres.,Uw kind is behulpzaam voor anderen.,,
