identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr-CA,nl,source
TeacherMathFrequency,teacher_survey_classroom,"Wie oft pro Woche arbeiten die Kinder in dieser Klasse normalerweise an Mathematikprojekten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Wie oft pro Woche arbeiten die Kinder in dieser Klasse normalerweise an Mathematikprojekten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?",,,"¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","Combien de fois par semaine les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en mathématiques, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoe vaak per week werken kinderen in deze klas meestal aan lessen of projecten voor Wiskunde, hetzij klassikaal, in kleine groepen, of individueel?","How often each week do children in this class usually work on lessons or projects in Mathematics, whether as a whole class, in small groups, or in individualized arrangements?"
TeacherMathFrequency,teacher_survey_classroom,Nie,Nie,,,Nunca,Nunca,Nunca,Jamais,Nooit,Never
TeacherMathFrequency,teacher_survey_classroom,Weniger als einmal pro Woche,Weniger als einmal pro Woche,,,Menos de una vez por semana,Menos de una vez por semana,Menos de una vez por semana,Moins d'une fois par semaine,Minder dan één keer per week,Less than once per week
TeacherMathFrequency,teacher_survey_classroom,1 - 2 Mal pro Woche,1 - 2 Mal pro Woche,,,1 a 2 veces por semana,1 a 2 veces por semana,1 a 2 veces por semana,1 - 2 fois par semaine,1-2 keer per week,1 -2 times per week
TeacherMathFrequency,teacher_survey_classroom,3 - 4 Mal pro Woche,3 - 4 Mal pro Woche,,,3 a 4 veces por semana,3 a 4 veces por semana,3 a 4 veces por semana,3 - 4 fois par semaine,3-4 keer per week,3 - 4 times per week
TeacherMathFrequency,teacher_survey_classroom,Täglich,Täglich,Daily,Daily,A diario,A diario,A diario,Tous les jours,Dagelijks,Daily
TeacherMathTime,teacher_survey_classroom,"Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Mathematikprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Mathematikprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?",,,"¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de matemáticas, ya sea en sesión plenaria, grupos pequeños o individualmente?","Combien de temps par jour les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en mathématiques, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoeveel tijd per dag werken kinderen in deze klas meestal aan lessen of projecten voor Wiskunde, hetzij klassikaal, in kleine groepen, of individueel?","How much time per day do children in this class usually work on lessons or projects in Mathematics, whether as a whole class, in small groups, or in individualized arrangements?"
TeacherMathTime,teacher_survey_classroom,1 - 30 Minuten pro Tag,1 - 30 Minuten am Tag,,,1 a 30 minutos al día,1 a 30 minutos al día,1 a 30 minutos al día,1 - 30 minutes par jour,1-30 minuten per dag,1 - 30 minutes a day
TeacherMathTime,teacher_survey_classroom,31 - 60 Minuten pro Tag,31 - 60 Minuten am Tag,,,31 a 60 minutos al día,31 a 60 minutos al día,31 a 60 minutos al día,31 - 60 minutes par jour,31-60 minuten per dag,31 - 60 minutes a day
TeacherMathTime,teacher_survey_classroom,61 - 90 Minuten pro Tag,61 - 90 Minuten am Tag,,,61 a 90 minutos al día,61 a 90 minutos al día,61 a 90 minutos al día,61 - 90 minutes par jour,61-90 minuten per dag,61 - 90 minutes a day
TeacherMathTime,teacher_survey_classroom,Mehr als 90 Minuten pro Tag,Mehr als 90 Minuten am Tag,More than 90 minutes a day,More than 90 minutes a day,Más de 90 minutos al día,Más de 90 minutos al día,Más de 90 minutos al día,Plus de 90 minutes par jour,Meer dan 90 minuten per dag,More than 90 minutes a day
TeacherFamilySupport,teacher_survey_classroom,"Denken Sie an die Familien der Kinder in dieser Klasse, die Sie in diesem Schuljahr unterrichtet haben. Für wie viele Familien treffen die folgenden Aussagen zu?","Denken Sie an die Familien der Kinder in dieser Klasse, die Sie in diesem Schuljahr unterrichtet haben. Für wie viele Familien treffen die folgenden Aussagen zu?",Think about the families of the children in this class you don teach this school year. For about how many families are these statements true?,Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?,Piense en las familias de los niños(as) de esta clase a quienes usted ha dado clase este año escolar. ¿Aproximadamente para cuántas familias es cierta cada una de las siguientes afirmaciones?,Piense en las familias de los niños(as) de esta clase a quienes usted ha dado clase este año escolar. ¿Aproximadamente para cuántas familias es cierta cada una de las siguientes afirmaciones?,Piense en las familias de los niños(as) de esta clase a quienes usted ha dado clase este año escolar. ¿Aproximadamente para cuántas familias es cierta cada una de las siguientes afirmaciones?,Pensez aux familles des enfants de cette classe à qui vous avez enseigné cette année scolaire. Pour combien de familles environ chacune des déclarations suivantes est-elle vraie ?,Denk aan de families van de kinderen in deze klas die u dit schooljaar lesgegeven hebt. Voor hoeveel families zijn de volgende uitspraken ongeveer waarheid?,Think about the families of the children in this class who you have taught this school year. For about how many families are each of the following statements true?
TeacherFamilyOverwhelm,teacher_survey_classroom,"Die Familien scheinen überwältigt zu sein, wenn sie versuchen, das Lernen ihrer Kinder zu unterstützen.","Familien scheinen überfordert zu sein, da sie versuchen, das Lernen ihrer Kinder zu unterstützen.",,,Las familias parecen estar abrumadas por tratar de apoyar el aprendizaje de sus niños(as).,Las familias parecen estar abrumadas por tratar de apoyar el aprendizaje de sus niños(as).,Las familias parecen estar abrumadas por tratar de apoyar el aprendizaje de sus niños(as).,Les familles semblent dépassées par le fait de devoir soutenir l'apprentissage de leurs enfants.,Gezinnen lijken overweldigd door het proberen te ondersteunen van het leren van hun kinderen.,Families seem overwhelmed by trying to support their children's learning.
TeacherFamilyOverwhelm,teacher_survey_classroom,Keine,Keine,,,Ninguna,Ninguna,Ninguna,Aucun,Geen,None
TeacherFamilyOverwhelm,teacher_survey_classroom,Eine oder wenige,Eine oder wenige,,,Una o pocas,Una o pocas,Una o pocas,Une ou quelques-unes,Eén of enkele,One or a few
TeacherFamilyOverwhelm,teacher_survey_classroom,Viele,Viele,,,Muchas,Muchas,Muchas,Beaucoup,Veel,Many
TeacherFamilyOverwhelm,teacher_survey_classroom,Alle oder fast alle,Alle oder fast alle,All or almost all,All or almost all,Todas o casi todas,Todas o casi todas,Todas o casi todas,Toutes ou presque toutes,Alle of bijna alle,All or almost all
TeacherFamilyHelping,teacher_survey_classroom,"Die Familien leisten ihren Beitrag, um das Lernen der Kinder zu unterstützen.","Familien tragen ihren Teil dazu bei, das Lernen der Kinder zu unterstützen.",,,Las familias hacen su parte para apoyar el aprendizaje de los niños(as).,Las familias hacen su parte para apoyar el aprendizaje de los niños(as).,Las familias hacen su parte para apoyar el aprendizaje de los niños(as).,Les familles font leur part pour soutenir l'apprentissage des enfants.,Gezinnen doen hun best om het leren van kinderen te ondersteunen.,Families are doing their part to support children's learning.
TeacherFamilyHelping,teacher_survey_classroom,Keine,Keine,,,Ninguna,Ninguna,Ninguna,Aucun,Geen,None
TeacherFamilyHelping,teacher_survey_classroom,Eine oder wenige,Eine oder wenige,,,Una o pocas,Una o pocas,Una o pocas,Une ou quelques-unes,Eén of enkele,One or a few
TeacherFamilyHelping,teacher_survey_classroom,Viele,Viele,,,Muchas,Muchas,Muchas,Beaucoup,Veel,Many
TeacherFamilyHelping,teacher_survey_classroom,Alle oder fast alle,Alle oder fast alle,All or almost all,All or almost all,Todas o casi todas,Todas o casi todas,Todas o casi todas,Toutes ou presque toutes,Alle of bijna alle,All or almost all
TeacherComm,teacher_survey_classroom,"Bitte geben Sie an, wie zufrieden oder unzufrieden Sie in diesem Schuljahr mit den folgenden Aspekten waren.","Bitte geben Sie an, wie zufrieden oder unzufrieden Sie in diesem Schuljahr mit den folgenden Aspekten waren.",Abeg indicate how satisfied or dissatisfied you don dey with these things this school year.,Please indicate how satisfied or dissatisfied you have been with the following this school year.,"Por favor, indique cuán satisfecho(a) o insatisfecho(a) ha estado usted este año escolar con los siguientes aspectos.","Por favor, indique cuán satisfecho(a) o insatisfecho(a) ha estado usted este año escolar con los siguientes aspectos.","Por favor, indique cuán satisfecho(a) o insatisfecho(a) ha estado usted este año escolar con los siguientes aspectos.",Veuillez indiquer à quel point vous avez été satisfait ou insatisfait de ce qui suit cette année scolaire.,Geef aan hoe tevreden of ontevreden u dit schooljaar met de volgende aspecten bent geweest.,Please indicate how satisfied or dissatisfied you have been with the following this school year.
TeacherCommFamily,teacher_survey_classroom,Die Kommunikation zwischen Ihnen und den Familien.,Die Kommunikation zwischen Ihnen und den Familien.,,,La comunicación entre usted y las familias.,La comunicación entre usted y las familias.,La comunicación entre usted y las familias.,Communication entre vous et les familles.,Communicatie tussen u en de families.,Communication between you and families.
TeacherCommFamily,teacher_survey_classroom,Überhaupt nicht zufrieden,Überhaupt nicht zufrieden,,,Nada satisfecho,Nada satisfecho,Nada satisfecho,Pas du tout satisfait,Helemaal niet tevreden,Not satisfied at all
TeacherCommFamily,teacher_survey_classroom,Wenig zufrieden,Wenig zufrieden,,,Poco satisfecho,Poco satisfecho,Poco satisfecho,Légèrement satisfait,Een beetje tevreden,Slightly satisfied
TeacherCommFamily,teacher_survey_classroom,Mäßig zufrieden,Mäßig zufrieden,,,Medianamente satisfecho,Medianamente satisfecho,Medianamente satisfecho,Modérément satisfait,Gemiddeld tevreden,Moderately satisfied
TeacherCommFamily,teacher_survey_classroom,Ganz zufrieden,Ganz zufrieden,,,Bastante satisfecho,Bastante satisfecho,Bastante satisfecho,Assez satisfait,Best tevreden,Quite satisfied
TeacherCommFamily,teacher_survey_classroom,Sehr zufrieden,Sehr zufrieden,Very satisfied,Very satisfied,Absolutamente satisfecho,Absolutamente satisfecho,Absolutamente satisfecho,Très satisfait,Zeer tevreden,Very satisfied
TeacherCommStudents,teacher_survey_classroom,Die Kommunikation zwischen Ihnen und Ihren Schülern.,Die Kommunikation zwischen Ihnen und Ihren Schülern.,,,La comunicación entre usted y sus alumnos.,La comunicación entre usted y sus alumnos.,La comunicación entre usted y sus alumnos.,Communication entre vous et vos élèves.,Communicatie tussen u en uw leerlingen.,Communication between you and your students.
TeacherCommStudents,teacher_survey_classroom,Überhaupt nicht zufrieden,Überhaupt nicht zufrieden,,,Nada satisfecho,Nada satisfecho,Nada satisfecho,Pas du tout satisfait,Helemaal niet tevreden,Not satisfied at all
TeacherCommStudents,teacher_survey_classroom,Wenig zufrieden,Wenig zufrieden,,,Poco satisfecho,Poco satisfecho,Poco satisfecho,Légèrement satisfait,Een beetje tevreden,Slightly satisfied
TeacherCommStudents,teacher_survey_classroom,Mäßig zufrieden,Mäßig zufrieden,,,Medianamente satisfecho,Medianamente satisfecho,Medianamente satisfecho,Modérément satisfait,Gemiddeld tevreden,Moderately satisfied
TeacherCommStudents,teacher_survey_classroom,Ganz zufrieden,Ganz zufrieden,,,Bastante satisfecho,Bastante satisfecho,Bastante satisfecho,Assez satisfait,Best tevreden,Quite satisfied
TeacherCommStudents,teacher_survey_classroom,Sehr zufrieden,Sehr zufrieden,Very satisfied,Very satisfied,Absolutamente satisfecho,Absolutamente satisfecho,Absolutamente satisfecho,Très satisfait,Zeer tevreden,Very satisfied
unknown,teacher_survey_classroom,Umfrage starten,,,,Comenzar Encuesta,,,,,Start Survey
unknown,teacher_survey_classroom,Zurück,,,,Anterior,,,,,Previous
unknown,teacher_survey_classroom,Weiter,,,,Siguiente,,,,,Next
unknown,teacher_survey_classroom,Beenden,,,,Terminar,,,,,Finish
