identifier,labels,de,de_ch,en,es,es_ar,es_co,fr_ca,nl
TeacherClimateItems,teacher_survey_general,Die Einrichtungen und das Gelände dieser Schule sind sauber.,Die Einrichtungen und das Eigentum dieser Schule sind sauber.,The facilities and property of this school are clean.,Las instalaciones y la propiedad de este colegio están limpios.,Las instalaciones y la propiedad de este colegio están limpios.,Las instalaciones y la propiedad de este colegio están limpios.,Les installations et la propriété de cette école sont propres.,De faciliteiten en het eigendom van deze school zijn schoon.
TeacherClimateItems,teacher_survey_general,"Kontinuierliche Zusammenarbeit ist etwas, was die Erwachsenen in dieser Schule gut beherrschen.","Kontinuierliche Zusammenarbeit ist etwas, was die Erwachsenen in dieser Schule gut beherrschen.",Ongoing collaboration is something adults in this school do well.,La colaboración continua es algo que los adultos de este colegio hacen bien.,La colaboración continua es algo que los adultos de este colegio hacen bien.,La colaboración continua es algo que los adultos de este colegio hacen bien.,La collaboration continue est quelque chose que les adultes de cette école font bien.,Voortdurende samenwerking is iets wat volwassenen op deze school goed doen.
TeacherClimateItems,teacher_survey_general,"Erwachsene, die in dieser Schule arbeiten, haben starke berufliche Beziehungen.","Erwachsene, die in dieser Schule arbeiten, haben starke berufliche Beziehungen.",Adults working in this school have strong professional relationships.,Los adultos que trabajan en este colegio mantienen buenas relaciones personales.,Los adultos que trabajan en este colegio mantienen buenas relaciones personales.,Los adultos que trabajan en este colegio mantienen buenas relaciones personales.,Les adultes travaillant dans cette école entretiennent des relations professionnelles solides.,"Volwassenen die op deze school werken, hebben sterke professionele relaties."
TeacherClimateItems,teacher_survey_general,"Erwachsene, die in dieser Schule arbeiten, sind respektvoll und unterstützend zueinander.","Erwachsene, die in dieser Schule arbeiten, sind respektvoll und unterstützend zueinander.",Adults working in this school are respectful and supportive of one another.,Los adultos que trabajan en este colegio son respetuosos y se apoyan mutuamente.,Los adultos que trabajan en este colegio son respetuosos y se apoyan mutuamente.,Los adultos que trabajan en este colegio son respetuosos y se apoyan mutuamente.,Les adultes travaillant dans cette école se respectent et se soutiennent mutuellement.,Volwassenen die op deze school werken zijn respectvol en steunen elkaar.
TeacherFeelJob,teacher_survey_general,<b>Mit diesem Set von Fragen möchten wir mehr über die Gefühle der Lehrer in Bezug auf ihre Arbeit erfahren.</b>,<b>Mit diesem Set von Fragen möchten wir mehr über die Gefühle der Lehrer in Bezug auf ihre Arbeit erfahren.</b>,"<b>With this set of items, we wish to learn more about teachers' feelings about their job.</b>",<b>Con el siguiente grupo de preguntas queremos conocer cómo se sienten los docentes con relación a su trabajo.</b>,<b>Con el siguiente grupo de preguntas queremos conocer cómo se sienten los docentes con relación a su trabajo.</b>,<b>Con el siguiente grupo de preguntas queremos conocer cómo se sienten los docentes con relación a su trabajo.</b>,"<b>Avec cet ensemble d'éléments, nous souhaitons en savoir plus sur les sentiments des enseignants envers leur travail.</b>",<b>Met deze set items willen we meer te weten komen over de gevoelens van docenten over hun werk.</b>
TeacherFeelJobItems,teacher_survey_general,"Bitte wählen Sie eine Antwort aus, die angibt, wie oft Sie mit jeder der folgenden Aussagen übereinstimmen.","Bitte wählen Sie eine Antwort aus, die angibt, wie oft Sie mit jeder der folgenden Aussagen übereinstimmen.",Please select one answer that indicates how often you agree with each of the following statements.,"Por favor, seleccione una respuesta que indique con qué frecuencia usted está de acuerdo con cada una de las siguientes afirmaciones.","Por favor, seleccione una respuesta que indique con qué frecuencia usted está de acuerdo con cada una de las siguientes afirmaciones.","Por favor, seleccione una respuesta que indique con qué frecuencia usted está de acuerdo con cada una de las siguientes afirmaciones.",Veuillez sélectionner une réponse qui indique à quelle fréquence vous êtes d'accord avec chacune des affirmations suivantes.,Gelieve één antwoord te selecteren dat aangeeft hoe vaak u het eens bent met elk van de volgende uitspraken.
TeacherFeelJobItems,teacher_survey_general,Nie,Nie,Never,Nunca,Nunca,Nunca,Jamais,Nooit
TeacherFeelJobItems,teacher_survey_general,Einige Male im Jahr oder weniger,Einige Male im Jahr oder weniger,A few times a year or less,Algunas veces o menos al año,Algunas veces o menos al año,Algunas veces o menos al año,Quelques fois par an ou moins,Een paar keer per jaar of minder
TeacherFeelJobItems,teacher_survey_general,Einmal pro Monat oder weniger,Einmal pro Monat oder weniger,Once a month or less,Una vez o menos al mes,Una vez o menos al mes,Una vez o menos al mes,Une fois par mois ou moins,Één keer per maand of minder
TeacherFeelJobItems,teacher_survey_general,Ein paar Mal im Monat,Ein paar Mal im Monat,A few times a month,Algunas veces al mes,Algunas veces al mes,Algunas veces al mes,Quelques fois par mois,Een paar keer per maand
TeacherFeelJobItems,teacher_survey_general,Einmal pro Woche,Einmal pro Woche,Once a week,Una vez a la semana,Una vez a la semana,Una vez a la semana,Une fois par semaine,Één keer per week
TeacherFeelJobItems,teacher_survey_general,Ein paar Mal pro Woche,Ein paar Mal die Woche,A few times a week,Algunas veces a la semana,Algunas veces a la semana,Algunas veces a la semana,Quelques fois par semaine,Een paar keer per week
TeacherFeelJobItems,teacher_survey_general,Jeden Tag,Jeden Tag,Everyday,Todos los días,Todos los días,Todos los días,Tous les jours,Elke dag
TeacherFeelJobItems,teacher_survey_general,Ich fühle mich emotional ausgelaugt durch meine Arbeit.,Ich fühle mich emotional ausgelaugt durch meine Arbeit.,I feel emotionally drained from my work.,Me siento emocionalmente agotado(a) por mi trabajo.,Me siento emocionalmente agotado(a) por mi trabajo.,Me siento emocionalmente agotado(a) por mi trabajo.,Je me sens épuisé(e) émotionnellement par mon travail.,Ik voel me emotioneel uitgeput door mijn werk.
TeacherFeelJobItems,teacher_survey_general,"Ich fühle mich erschöpft, wenn ich morgens aufstehe und einen weiteren Arbeitstag vor mir habe.","Ich fühle mich erschöpft, wenn ich morgens aufstehe und einen weiteren Arbeitstag vor mir habe.",I feel fatigued when I get up in the morning and have to face another day on the job.,Me siento fatigado(a) cuando me levanto por la mañana y tengo que afrontar otro día en el trabajo.,Me siento fatigado(a) cuando me levanto por la mañana y tengo que afrontar otro día en el trabajo.,Me siento fatigado(a) cuando me levanto por la mañana y tengo que afrontar otro día en el trabajo.,Je me sens fatigué(e) quand je me lève le matin et que je dois affronter une nouvelle journée de travail.,Ik voel me vermoeid wanneer ik 's ochtends opsta en weer een dag op het werk moet doorbrengen.
TeacherFeelJobItems,teacher_survey_general,"Ich kann leicht nachvollziehen, wie meine Schüler zu den Dingen stehen.","Ich kann leicht nachvollziehen, wie meine Schüler zu den Dingen stehen.",I can easily understand how my students feel about things.,Puedo comprender fácilmente cómo se sienten mis alumnos.,Puedo comprender fácilmente cómo se sienten mis alumnos.,Puedo comprender fácilmente cómo se sienten mis alumnos.,Je comprends facilement comment mes élèves se sentent par rapport aux choses.,Ik kan gemakkelijk begrijpen hoe mijn leerlingen over dingen denken.
TeacherFeelJobItems,teacher_survey_general,Ich gehe sehr effektiv mit den Problemen meiner Schüler um.,Ich gehe sehr effektiv mit den Problemen meiner Schüler um.,I deal very effectively with the problems of my students.,Manejo de forma eficaz los problemas de mis alumnos.,Manejo de forma eficaz los problemas de mis alumnos.,Manejo de forma eficaz los problemas de mis alumnos.,Je gère très efficacement les problèmes de mes élèves.,Ik werk zeer effectief met de problemen van mijn leerlingen.
TeacherFeelJobItems,teacher_survey_general,Ich fühle mich von meiner Arbeit ausgebrannt.,Ich fühle mich von meiner Arbeit ausgebrannt.,I feel burned out from my work.,Me siento agotado(a) por mi trabajo.,Me siento agotado(a) por mi trabajo.,Me siento agotado(a) por mi trabajo.,Je me sens épuisé(e) par mon travail.,Ik voel me opgebrand door mijn werk.
TeacherFeelJobItems,teacher_survey_general,"Ich habe das Gefühl, dass ich durch meine Arbeit das Leben anderer Menschen positiv beeinflusse.","Ich habe das Gefühl, dass ich durch meine Arbeit das Leben anderer Menschen positiv beeinflusse.",I feel I'm positively influencing other people's lives through my work.,Siento que a través de mi trabajo influyo positivamente en la vida de otras personas.,Siento que a través de mi trabajo influyo positivamente en la vida de otras personas.,Siento que a través de mi trabajo influyo positivamente en la vida de otras personas.,"Je sens que, grâce à mon travail, j'influence positivement la vie d'autres personnes.",Ik voel dat ik een positieve invloed uitoefen op het leven van andere mensen door mijn werk.
TeacherFeelJobItems,teacher_survey_general,Ich fühle mich durch meine Arbeit frustriert.,Ich fühle mich durch meine Arbeit frustriert.,I feel frustrated by my job.,Me siento frustrado(a) por mi trabajo.,Me siento frustrado(a) por mi trabajo.,Me siento frustrado(a) por mi trabajo.,Je me sens frustré(e) par mon travail.,Ik voel me gefrustreerd door mijn werk.
TeacherFeelJobItems,teacher_survey_general,"Ich habe das Gefühl, dass ich in meinem Job zu hart arbeite.","Ich habe das Gefühl, dass ich in meinem Job zu hart arbeite.",I feel I'm working too hard on my job.,Siento que estoy estoy haciendo un esfuerzo muy grande en mi trabajo.,Siento que estoy estoy haciendo un esfuerzo muy grande en mi trabajo.,Siento que estoy estoy haciendo un esfuerzo muy grande en mi trabajo.,Je sens que je travaille trop dur dans mon emploi.,Ik voel dat ik te hard werk op mijn werk.
TeacherFeelJobItems,teacher_survey_general,Ich kann mit meinen Schülern leicht eine entspannte Atmosphäre schaffen.,Ich kann mit meinen Schülern leicht eine entspannte Atmosphäre schaffen.,I can easily create a relaxed atmosphere with my students.,Puedo crear fácilmente un ambiente relajado con mis alumnos.,Puedo crear fácilmente un ambiente relajado con mis alumnos.,Puedo crear fácilmente un ambiente relajado con mis alumnos.,Je peux facilement créer une atmosphère détendue avec mes élèves.,Ik kan gemakkelijk een ontspannen sfeer creëren met mijn leerlingen.
TeacherFeelJobItems,teacher_survey_general,"Ich fühle mich euphorisch, nachdem ich eng mit meinen Schülern zusammengearbeitet habe.","Ich fühle mich euphorisch, nachdem ich eng mit meinen Schülern zusammengearbeitet habe.",I feel exhilarated after working closely with my students.,Me siento eufórico(a) después de trabajar de manera cercana con mis alumnos.,Me siento eufórico(a) después de trabajar de manera cercana con mis alumnos.,Me siento eufórico(a) después de trabajar de manera cercana con mis alumnos.,Je me sens exalté(e) après avoir travaillé en étroite collaboration avec mes élèves.,Ik voel me opgetogen nadat ik nauw met mijn leerlingen heb samengewerkt.
TeacherFeelJobItems,teacher_survey_general,In diesem Job habe ich viele wertvolle Dinge erreicht.,In diesem Job habe ich viele wertvolle Dinge erreicht.,I have accomplished many worthwhile things in this job.,En este trabajo he logrado muchas cosas que valen la pena.,En este trabajo he logrado muchas cosas que valen la pena.,En este trabajo he logrado muchas cosas que valen la pena.,"Dans ce travail, j'ai accompli beaucoup de choses qui en valent la peine.",Ik heb veel waardevolle dingen bereikt in deze baan.
TeacherFeelJobItems,teacher_survey_general,"Ich habe das Gefühl, dass ich am Ende meiner Kräfte bin.","Ich habe das Gefühl, dass ich am Ende meiner Kräfte bin.",I feel like I'm at the end of my rope.,Siento que estoy al límite de mis fuerzas.,Siento que estoy al límite de mis fuerzas.,Siento que estoy al límite de mis fuerzas.,J’ai l'impression d'être à bout de nerfs.,Ik voel dat ik op het eind van mijn lat zit.
TeacherFeelJobItems,teacher_survey_general,In meiner Arbeit gehe ich sehr ruhig mit emotionalen Problemen um.,In meiner Arbeit gehe ich sehr ruhig mit emotionalen Problemen um.,"In my work, I deal with emotional problems very calmly.",En mi trabajo afronto los problemas emocionales con mucha calma.,En mi trabajo afronto los problemas emocionales con mucha calma.,En mi trabajo afronto los problemas emocionales con mucha calma.,"Dans mon travail, je gère très calmement les problèmes émotionnels.",In mijn werk ga ik zeer rustig om met emotionele problemen.
TeacherBeliefTeach,teacher_survey_general,"<b>Mit diesem Set an Fragen sollen die Aspekte erforscht werden, die Lehrern bei ihren schulischen Aktivitäten Schwierigkeiten bereiten.</b>","<b>Mit diesem Set an Fragen sollen die Aspekte erforscht werden, die Lehrern bei ihren schulischen Aktivitäten Schwierigkeiten bereiten.</b>",<b>This set of questions is designed to help us gain a better understanding of the kinds of things that create difficulties for teachers in their school activities.</b>,<b>El siguiente grupo de preguntas está diseñado para ayudarnos a comprender los aspectos que les generan dificultades a los docentes en sus actividades escolares.</b>,<b>El siguiente grupo de preguntas está diseñado para ayudarnos a comprender los aspectos que les generan dificultades a los docentes en sus actividades escolares.</b>,<b>El siguiente grupo de preguntas está diseñado para ayudarnos a comprender los aspectos que les generan dificultades a los docentes en sus actividades escolares.</b>,<b>Cet ensemble de questions est conçu pour nous aider à mieux comprendre les types de difficultés que rencontrent les enseignants dans leurs activités scolaires.</b>,<b>Deze set vragen is ontworpen om ons te helpen een beter inzicht te krijgen in de soorten dingen die docenten moeilijkheden veroorzaken in hun schoolactiviteiten.</b>
TeacherBeliefTeachItemsInfluence,teacher_survey_general,<b>Wie viel Einfluss haben Sie...</b>,<b>Wie viel Einfluss haben Sie...</b>,<b>How much influence do you have...</b>,<b>¿Cuánta influencia tiene usted...</b>,<b>¿Cuánta influencia tiene usted...</b>,<b>¿Cuánta influencia tiene usted...</b>,<b>Quelle influence avez-vous...</b>,<b>Hoeveel invloed heeft u...</b>
TeacherBeliefTeachItemsInfluence,teacher_survey_general,Nie,Nie,Never,Nada de influencia,Nada de influencia,Nada de influencia,Jamais,Nooit
TeacherBeliefTeachItemsInfluence,teacher_survey_general,Sehr wenig,Sehr wenig,Very Little,Muy poca influencia,Muy poca influencia,Muy poca influencia,Très peu d'influence,Zeer weinig
TeacherBeliefTeachItemsInfluence,teacher_survey_general,Etwas Einfluss,Etwas Einfluss,Some Influence,Algo de influencia,Algo de influencia,Algo de influencia,Un peu d'influence,Enige invloed
TeacherBeliefTeachItemsInfluence,teacher_survey_general,Ziemlich viel,Ziemlich viel,Quite a Bit,Suficiente influencia,Suficiente influencia,Suficiente influencia,Pas mal d'influence,Best wat
TeacherBeliefTeachItemsInfluence,teacher_survey_general,Sehr viel,Sehr viel,A Great Deal,Bastante influencia,Bastante influencia,Bastante influencia,Beaucoup d'influence,Heel veel
TeacherBeliefTeachItemsInfluence,teacher_survey_general,auf störendes Verhalten im Klassenzimmer?,auf störendes Verhalten im Klassenzimmer?,on disruptive behavior in the classroom?,en el comportamiento disruptivo en el salón?,en el comportamiento disruptivo en el salón?,en el comportamiento disruptivo en el salón?,sur le comportement perturbateur dans la classe ?,op storend gedrag in de klas?
TeacherBeliefTeachItemsInfluence,teacher_survey_general,"um Kinder zu motivieren, die wenig Interesse an Aktivitäten zeigen?","um Kinder zu motivieren, die wenig Interesse an Aktivitäten zeigen?",to motivate children who show low interest in activities?,para motivar a los niños(as) que muestran poco interés por las actividades?,para motivar a los niños(as) que muestran poco interés por las actividades?,para motivar a los niños(as) que muestran poco interés por las actividades?,pour motiver les enfants qui montrent peu d'intérêt pour les activités ?,"om kinderen die weinig interesse in activiteiten tonen, te motiveren?"
TeacherBeliefTeachItemsInfluence,teacher_survey_general,"um Kindern das Gefühl zu geben, dass sie Aktivitäten gut machen können?","um Kindern das Gefühl zu geben, dass sie Aktivitäten gut machen können?",to get children to believe they can do well on activities?,en que los niños(as) crean que pueden hacer bien las actividades?,en que los niños(as) crean que pueden hacer bien las actividades?,en que los niños(as) crean que pueden hacer bien las actividades?,à faire en sorte que les enfants croient pouvoir bien réussir les activités ?,om kinderen ervan te overtuigen dat ze goed kunnen presteren bij activiteiten?
TeacherBeliefTeachItemsInfluence,teacher_survey_general,"um Kindern in Ihrer (Ihren) Klasse(n) zu helfen, Bildung wertzuschätzen?","um Kindern in Ihrer (Ihren) Klasse(n) zu helfen, Bildung wertzuschätzen?",to help children in your classroom(s) value learning?,para ayudar a los niños(as) de su(s) aula(s) a valorar el aprendizaje?,para ayudar a los niños(as) de su(s) aula(s) a valorar el aprendizaje?,para ayudar a los niños(as) de su(s) aula(s) a valorar el aprendizaje?,pour aider les enfants dans votre(s) classe(s) à valoriser l'apprentissage ?,om kinderen in uw klas(sen) te helpen leren waarderen?
TeacherBeliefTeachItemsInfluence,teacher_survey_general,"um Kinder zu ermutigen, die Klassenzimmerregeln zu befolgen?","um Kinder zu ermutigen, die Klassenzimmerregeln zu befolgen?",on getting children to follow classroom rules?,para lograr que los niños(as) sigan las normas del salón?,para lograr que los niños(as) sigan las normas del salón?,para lograr que los niños(as) sigan las normas del salón?,pour faire respecter les règles de la classe par les enfants ?,op kinderen de klasregels te laten volgen?
TeacherBeliefTeachItemsInfluence,teacher_survey_general,um ein störendes oder lautes Kind zu beruhigen?,um ein störendes oder lautes Kind zu beruhigen?,on calming a child who is disruptive or noisy?,para calmar a un niño(a) problemático(a) o ruidoso(a)?,para calmar a un niño(a) problemático(a) o ruidoso(a)?,para calmar a un niño(a) problemático(a) o ruidoso(a)?,pour calmer un enfant perturbateur ou bruyant ?,om een storend of luid kind te kalmeren?
TeacherBeliefTeachItemsWell,teacher_survey_general,<b>Wie gut können Sie...</b>,<b>Wie gut können Sie...</b>,<b>How well can you...</b>,<b>¿Qué tan bien puede usted...</b>,<b>¿Qué tan bien puede usted...</b>,<b>¿Qué tan bien puede usted...</b>,<b>Que pouvez-vous faire...</b>,<b>Hoe goed kunt u...</b>
TeacherBeliefTeachItemsWell,teacher_survey_general,Gar nicht,Gar nicht,Not At All,Nada bien,Nada bien,Nada bien,Pas du tout,Helemaal niet
TeacherBeliefTeachItemsWell,teacher_survey_general,Sehr wenig,Sehr wenig,Very Little,Un poco bien,Un poco bien,Un poco bien,Très peu d'influence,Zeer weinig
TeacherBeliefTeachItemsWell,teacher_survey_general,Einigermaßen,Einigermaßen,Somewhat,Algo bien,Algo bien,Algo bien,Un peu,Enigszins
TeacherBeliefTeachItemsWell,teacher_survey_general,Ziemlich viel,Ziemlich viel,Quite a Bit,Suficientemente bien,Suficientemente bien,Suficientemente bien,Pas mal d'influence,Best wat
TeacherBeliefTeachItemsWell,teacher_survey_general,Sehr viel,Sehr viel,A Great Deal,Bastante bien,Bastante bien,Bastante bien,Beaucoup d'influence,Heel veel
TeacherBeliefTeachItemsWell,teacher_survey_general,ein Klassenzimmer-Management-System etablieren?,ein Klassenzimmer-Management-System etablieren?,establish a classroom management system?,establecer un sistema de gestión de aula?,establecer un sistema de gestión de aula?,establecer un sistema de gestión de aula?,établir un système de gestion de classe ?,een klassikale managementsysteem opzetten?
TeacherBeliefTeachItemsWell,teacher_survey_general,eine Vielzahl von Bewertungsstrategien nutzen?,eine Vielzahl von Bewertungsstrategien nutzen?,use a variety of assessment strategies?,utilizar diversas estrategias de evaluación?,utilizar diversas estrategias de evaluación?,utilizar diversas estrategias de evaluación?,utiliser une variété de stratégies d'évaluation ?,diverse beoordelingsstrategieën gebruiken?
TeacherBeliefTeachItemsWell,teacher_survey_general,"alternative Erklärungen oder Beispiele bieten, wenn Kinder verwirrt sind?","alternative Erklärungen oder Beispiele geben, wenn Kinder verwirrt sind?",provide alternative explanations or examples when children are confused?,proporcionar explicaciones alternativas o ejemplos cuando los niños(as) están confundidos?,proporcionar explicaciones alternativas o ejemplos cuando los niños(as) están confundidos?,proporcionar explicaciones alternativas o ejemplos cuando los niños(as) están confundidos?,fournir des explications alternatives ou des exemples lorsque les enfants sont confus ?,alternatieve uitleg of voorbeelden bieden wanneer kinderen verward zijn?
TeacherBeliefTeachItemsWell,teacher_survey_general,"Familien unterstützen, damit sie ihren Kindern helfen, in der Schule erfolgreich zu sein?","Familien unterstützen, damit sie ihren Kindern helfen, in der Schule erfolgreich zu sein?",assist families in helping their children do well in school?,ayudar a las familias a que sus hijos(as) les vaya bien en el colegio?,ayudar a las familias a que sus hijos(as) les vaya bien en el colegio?,ayudar a las familias a que sus hijos(as) les vaya bien en el colegio?,aider les familles à ce que leurs enfants réussissent à l'école ?,gezinnen helpen hun kinderen te laten slagen op school?
TeacherBeliefTeachItemsWell,teacher_survey_general,alternative Strategien in Ihrer (Ihren) Klasse(n) umsetzen?,alternative Strategien in Ihrer (Ihren) Klasse(n) umsetzen?,implement alternative strategies in your classroom(s)?,implementar estrategias alternas en su(s) aulas?,implementar estrategias alternas en su(s) aulas?,implementar estrategias alternas en su(s) aulas?,mettre en œuvre des stratégies alternatives dans votre(s) classe(s) ?,alternatieve strategieën in uw klas(sen) implementeren?
TeacherBeliefTeachItemsWell,teacher_survey_general,gute Fragen für Kinder in Ihrer (Ihren) Klasse(n) erstellen?,gute Fragen für Kinder in Ihrer (Ihren) Klasse(n) erstellen?,create good questions for children in your classroom(s)?,elaborar buenas preguntas para los niños(as) de su(s) aula(s)?,elaborar buenas preguntas para los niños(as) de su(s) aula(s)?,elaborar buenas preguntas para los niños(as) de su(s) aula(s)?,créer de bonnes questions pour les enfants dans votre(s) classe(s) ?,goede vragen maken voor kinderen in uw klas(sen)?
TeacherIdeasChildren,teacher_survey_general,<b>Mit diesem Set von Fragen möchten wir mehr über die Ideen und Überzeugungen von Lehrern über Kinder erfahren.</b>,<b>Mit diesem Fragesatz möchten wir mehr über die Ideen und Überzeugungen der Lehrer über Kinder erfahren.</b>,"<b>With this set of items, we wish to learn more about teachers' ideas and beliefs about children.</b>",<b>Con el siguiente grupo de preguntas deseamos conocer las ideas y creencias de los docentes sobre los niños(as).</b>,<b>Con el siguiente grupo de preguntas deseamos conocer las ideas y creencias de los docentes sobre los niños(as).</b>,<b>Con el siguiente grupo de preguntas deseamos conocer las ideas y creencias de los docentes sobre los niños(as).</b>,"<b>Avec cet ensemble d'éléments, nous souhaitons en savoir plus sur les idées et les croyances des enseignants concernant les enfants.</b>",<b>Met deze set items willen we meer te weten komen over de ideeën en overtuigingen van docenten over kinderen.</b>
TeacherIdeasChildrenItems,teacher_survey_general,"Bitte wählen Sie eine Antwort aus, die angibt, wie sehr Sie den folgenden Aussagen zustimmen.","Bitte wählen Sie eine Antwort aus, die angibt, wie sehr Sie den folgenden Aussagen zustimmen.",Please select one answer that indicates how strongly you agree with each of the following statements.,"Por favor, seleccione una respuesta que indique hasta qué punto usted está de acuerdo con cada una de las siguientes afirmaciones.","Por favor, seleccione una respuesta que indique hasta qué punto usted está de acuerdo con cada una de las siguientes afirmaciones.","Por favor, seleccione una respuesta que indique hasta qué punto usted está de acuerdo con cada una de las siguientes afirmaciones.",Veuillez sélectionner une réponse qui indique à quel point vous êtes d'accord avec chacune des affirmations suivantes.,Gelieve één antwoord te selecteren dat aangeeft hoe sterk u het eens bent met elk van de volgende uitspraken.
TeacherIdeasChildrenItems,teacher_survey_general,Stark ablehnen,Stark ablehnen,Strongly Disagree,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Fortement en désaccord,Sterk mee oneens
TeacherIdeasChildrenItems,teacher_survey_general,Leicht ablehnen,Leicht ablehnen,Mildly Disagree,En desacuerdo,En desacuerdo,En desacuerdo,Légèrement en désaccord,Lichtelijk mee oneens
TeacherIdeasChildrenItems,teacher_survey_general,Leicht zustimmen,Leicht zustimmen,Mildly Agree,De acuerdo,De acuerdo,De acuerdo,Légèrement d'accord,Lichtelijk mee eens
TeacherIdeasChildrenItems,teacher_survey_general,Stark zustimmen,Stark zustimmen,Strongly Agree,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Fortement d'accord,Sterk mee eens
TeacherIdeasChildrenItems,teacher_survey_general,"Da Eltern keine besondere Ausbildung im Bereich Bildung haben, sollten sie die Lehrmethoden der Lehrer nicht in Frage stellen.","Da Eltern keine besondere Ausbildung im Bereich Bildung haben, sollten sie die Lehrmethoden der Lehrer nicht in Frage stellen.","Since parents lack special training in education, they should not question the teacher's teaching methods.","Dado que los padres carecen de formación especial en educación, no deberían cuestionar los métodos de enseñanza del docente.","Dado que los padres carecen de formación especial en educación, no deberían cuestionar los métodos de enseñanza del docente.","Dado que los padres carecen de formación especial en educación, no deberían cuestionar los métodos de enseñanza del docente.","Étant donné que les parents n'ont pas de formation spéciale en éducation, ils ne devraient pas remettre en question les méthodes pédagogiques de l'enseignant.","Aangezien ouders geen speciale opleiding in onderwijs hebben, zouden ze de lesmethoden van de docent niet in twijfel moeten trekken."
TeacherIdeasChildrenItems,teacher_survey_general,Kinder sollten unabhängig von ihren Unterschieden gleich behandelt werden.,Kinder sollten unabhängig von ihren Unterschieden gleich behandelt werden.,Children should be treated the same regardless of differences among them.,Los niños(as) deben recibir el mismo trato a pesar de sus diferencias.,Los niños(as) deben recibir el mismo trato a pesar de sus diferencias.,Los niños(as) deben recibir el mismo trato a pesar de sus diferencias.,"Les enfants devraient être traités de la même manière, quelles que soient leurs différences.","Kinderen moeten hetzelfde behandeld worden, ongeacht de verschillen tussen hen."
TeacherIdeasChildrenItems,teacher_survey_general,Kinder sollten dem Lehrer immer gehorchen.,Kinder sollten dem Lehrer immer gehorchen.,Children should always obey the teacher.,Los niños(as) siempre deben obedecer al docente.,Los niños(as) siempre deben obedecer al docente.,Los niños(as) siempre deben obedecer al docente.,Les élèves devraient toujours obéir à l'enseignant.,Kinderen moeten altijd gehoor geven aan de docent.
TeacherIdeasChildrenItems,teacher_survey_general,"Für ein Kind ist es wichtiger, sich auf die Zukunft vorzubereiten, als die Gegenwart zu genießen.","Für ein Kind ist es wichtiger, sich auf die Zukunft vorzubereiten, als die Gegenwart zu genießen.",Preparing for the future is more important for a child than enjoying today.,Prepararse para el futuro es más importante para un niño(a) que disfrutar del presente.,Prepararse para el futuro es más importante para un niño(a) que disfrutar del presente.,Prepararse para el futuro es más importante para un niño(a) que disfrutar del presente.,Se préparer pour l'avenir est plus important pour un enfant que de profiter du moment présent.,Voorbereiden op de toekomst is voor een kind belangrijker dan het heden te genieten.
TeacherIdeasChildrenItems,teacher_survey_general,"Kinder werden das Richtige nicht tun, es sei denn, sie müssen.","Kinder werden das Richtige nicht tun, es sei denn, sie müssen.",Children will not do the right thing unless they must.,Los niños(as) no harán lo correcto a menos que tengan que hacerlo.,Los niños(as) no harán lo correcto a menos que tengan que hacerlo.,Los niños(as) no harán lo correcto a menos que tengan que hacerlo.,Les enfants ne feront pas ce qui est bien à moins qu'ils ne soient obligés.,"Kinderen zullen het juiste niet doen, tenzij ze moeten."
TeacherIdeasChildrenItems,teacher_survey_general,"Kinder sollten ihren Eltern widersprechen dürfen, wenn sie glauben, dass ihre eigenen Ideen besser sind.","Kinder sollten ihren Eltern widersprechen dürfen, wenn sie glauben, dass ihre eigenen Ideen besser sind.",Children should be allowed to disagree with their parents if they feel their own ideas are better.,Los niños(as) deberían poder estar en desacuerdo con sus padres si creen que sus ideas son mejores.,Los niños(as) deberían poder estar en desacuerdo con sus padres si creen que sus ideas son mejores.,Los niños(as) deberían poder estar en desacuerdo con sus padres si creen que sus ideas son mejores.,Les enfants devraient être autorisés à être en désaccord avec leurs parents s'ils estiment que leurs idées sont meilleures.,Kinderen moeten het oneens kunnen zijn met hun ouders als zij vinden dat hun eigen ideeën beter zijn.
TeacherIdeasChildrenItems,teacher_survey_general,Kinder sollten mit Aufgaben und Studium zu Hause und in der Schule beschäftigt sein.,Kinder sollten mit Aufgaben und Studium zu Hause und in der Schule beschäftigt sein.,Children should be kept busy with work and study at home and at school.,Los niños(as) deberían mantenerse ocupados con tareas y estudio en la casa y en el colegio.,Los niños(as) deberían mantenerse ocupados con tareas y estudio en la casa y en el colegio.,Los niños(as) deberían mantenerse ocupados con tareas y estudio en la casa y en el colegio.,Les enfants devraient être tenus occupés par le travail et l'étude à la maison et à l'école.,Kinderen moeten druk bezig gehouden worden met werk en studie thuis en op school.
TeacherIdeasChildrenItems,teacher_survey_general,"Das Hauptziel der Bildung ist es, grundlegende Informationen in den Köpfen der Kinder zu verankern.","Das Hauptziel der Bildung ist es, grundlegende Informationen in den Köpfen der Kinder zu verankern.",The major goal of education is to put basic information into the minds of the children.,El principal objetivo de la educación es introducir información básica en la mente de los niños(as).,El principal objetivo de la educación es introducir información básica en la mente de los niños(as).,El principal objetivo de la educación es introducir información básica en la mente de los niños(as).,Le principal objectif de l'éducation est d'inculquer des informations de base aux enfants.,Het belangrijkste doel van onderwijs is om basale informatie in de hoofden van kinderen te stoppen.
