identifier,translation
HomeHOME24d,Give him/her a household chore
HomeHOME24d,Yes
HomeHOME24d,No
HomeHOME24e,Ignore it
HomeHOME24e,Yes
HomeHOME24e,No
HomeHOME24f,Send him/her to room for more than 1 hour
HomeHOME24f,Yes
HomeHOME24f,No
HomeHOME24g,Take away his/her allowance
HomeHOME24g,Yes
HomeHOME24g,No
HomeHOME24h,"Take away TV, phone, or other privileges"
HomeHOME24h,Yes
HomeHOME24h,No
HomeHOME24i,Put him/her in a short time out
HomeHOME24i,Yes
HomeHOME24i,No
HomeHOME24j,"Other, please specify"
HomeHOME25,How often is your child expected to make his/her own bed?
HomeHOME25,Almost always
HomeHOME25,More than half the time
HomeHOME25,Half the time
HomeHOME25,Less than half the time
HomeHOME25,Almost never
HomeHOME26,How often is your child expected to clean his/her own room?
HomeHOME26,Almost always
HomeHOME26,More than half the time
HomeHOME26,Half the time
HomeHOME26,Less than half the time
HomeHOME26,Almost never
HomeHOME27,How often is your child expected to pick up after him/herself ?
HomeHOME27,Almost always
HomeHOME27,More than half the time
HomeHOME27,Half the time
HomeHOME27,Less than half the time
HomeHOME27,Almost never
HomeHOME28,"Is there a musical instrument (e.g. piano, drum, guitar, etc.) that your child can use at home?"
HomeHOME28,Yes
HomeHOME28,No
HomeHOME29,How often does your child read for enjoyment?
HomeHOME29,Every day
HomeHOME29,Several times a week
HomeHOME29,Several times a month
HomeHOME29,Several times a year
HomeHOME29,Never
HomeHOME30,Does your family encourage your child to start and keep doing hobbies?
HomeHOME30,Yes
HomeHOME30,No
HomeHOME31,"Does your child get special lessons or belong to any organization that encourages activities such as sports, music, art, dance, drama, etc.?"
HomeHOME31,Yes
HomeHOME31,No
HomeHOME32,How often has a family member taken or arranged to take your child to any type of musical or theatrical performance within the last year?
HomeHOME32,About once a week or more
HomeHOME32,About once a month or more
HomeHOME32,Several times
HomeHOME32,Once or twice
HomeHOME32,Never
HomeHOME33,"When your family watches TV or views content online, do you or another adult in the home discuss it with your child?"
HomeHOME33,Almost always
HomeHOME33,More than half the time
HomeHOME33,Half the time
HomeHOME33,Less than half the time
HomeHOME33,Almost never
HomeHOME34,How often is your child expected to clean up after spills?
HomeHOME34,Almost always
HomeHOME34,More than half the time
HomeHOME34,Half the time
HomeHOME34,Less than half the time
HomeHOME34,Almost never
HomeHOME35,How often is your child expected to bathe him/herself?
HomeHOME35,Almost always
HomeHOME35,More than half the time
HomeHOME35,Half the time
HomeHOME35,Less than half the time
HomeHOME35,Almost never
HomeHOME36,How often is your child expected to help with keeping shared living areas neat and clean?
HomeHOME36,Almost always
HomeHOME36,More than half the time
HomeHOME36,Half the time
HomeHOME36,Less than half the time
HomeHOME36,Almost never
HomeHOME37,"How often is your child expected to do routine chores such as mow the lawn, help with dinner, wash dishes, etc.?"
HomeHOME37,Almost always
HomeHOME37,More than half the time
HomeHOME37,Half the time
HomeHOME37,Less than half the time
HomeHOME37,Almost never
HomeHOME38,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?"
HomeHOME38,Almost always
HomeHOME38,More than half the time
HomeHOME38,Half the time
HomeHOME38,Less than half the time
HomeHOME38,Almost never
SelfParentStressNCSHh9,"<b>DURING THE PAST MONTH</b>, how often have you felt..."
SelfParentStressNCSHh9,Never
SelfParentStressNCSHh9,Rarely
SelfParentStressNCSHh9,Sometimes
SelfParentStressNCSHh9,Usually
SelfParentStressNCSHh9,Always
SelfParentStressNCSHh9,that your child is much harder to care for than most children their age?
SelfParentStressNCSHh9,that your child does things that really bother you a lot?
SelfParentStressNCSHh9,angry with your child?
SelfParentRohner,"These statements describe ways different caregivers act toward their children. Please think about how well each statement describes the way you treat your child. Respond as to whether you do each item almost never, once a month, once a week, every day."
SelfParentRohner,Never or almost never
SelfParentRohner,Once a month
SelfParentRohner,Once a week
SelfParentRohner,Every day
SelfParentRohner,I see to it that my child knows exactly what (s)he may or may not do.
SelfParentRohner,I always tell my child how (s)he should behave.
SelfParentRohner,I insist that my child do exactly as (s)he is told.
SelfParentRohner,I make my child feel wanted and needed.
SelfParentRohner,I let my child do anything (s)he wants to do.
SelfParentRohner,I make my child feel what (s)he does is important.
SelfParentRohner,I care about what my child thinks and encourage her/him to talk about it.
SelfParentRohner,I want to control whatever my child does.
SelfParentRohner,I let my child know I love him/her.
SelfParentRohner,I treat my child gently and kindly.
SelfParentMICS,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with your child in the <b>past month</b>.
SelfParentMICS1,"Took away privileges, forbade something my child liked, or did not allow him/her to leave the house."
SelfParentMICS1,Yes
SelfParentMICS1,No
SelfParentMICS2,Explained why something (the behavior) was wrong.
SelfParentMICS2,Yes
SelfParentMICS2,No
SelfParentMICS4,"Shouted, yelled at or screamed at him/her."
SelfParentMICS4,Yes
SelfParentMICS4,No
SelfParentMICS6,"Spanked, hit, or slapped him/her."
SelfParentMICS6,Yes
SelfParentMICS6,No
SelfParentMICS12,"Do you believe that in order to bring up (raise, educate) your child properly, you need to physically punish him/her?"
SelfParentMICS12,Yes
SelfParentMICS12,No
unknown,Start Survey
unknown,Previous
unknown,Next
unknown,Finish
