identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
ChildPubertyBreastFemale,parent_survey_child,Es hat gerade erst begonnen,Es hat gerade erst begonnen,,,Apenas han empezado a crecer,Apenas han empezado a crecer,Apenas han empezado a crecer,A à peine commencé à pousser,A à peine commencé à pousser,Zijn nauwelijks begonnen met groeien,Have barely started growing
ChildPubertyBreastFemale,parent_survey_child,"Brustwachstum hat definitiv begonnen, ist aber noch nicht abgeschlossen", ist aber noch nicht abgeschlossen", ist aber noch nicht abgeschlossen",,,Han empezado pero no han terminado,Han empezado pero no han terminado,Han empezado pero no han terminado,La croissance des seins a clairement commencé mais n'est pas terminée,La croissance des seins a clairement commencé mais n'est pas terminée,Borstgroei is duidelijk begonnen maar nog niet afgerond,Breast growth has definitely started but is not finished
ChildPubertyBreastFemale,parent_survey_child,Das Brustwachstum scheint abgeschlossen zu sein,Das Brustwachstum scheint abgeschlossen zu sein,Breast growth seems completed,Breast growth seems completed,Parece que el crecimiento de los pechos ha terminado,Parece que el crecimiento de los pechos ha terminado,Parece que el crecimiento de los pechos ha terminado,La croissance des seins semble terminée,La croissance des seins semble terminée,Borstgroei lijkt voltooid,Breast growth seems completed
ChildPubertyMenstruate,parent_survey_child,Hat bei Ihrem Kind die Menstruation bereits begonnen?,Hat bei Ihrem Kind die Menstruation bereits begonnen?,,,¿Su niña ya tuvo su primera menstruación?,¿Su niña ya tuvo su primera menstruación?,¿Su niña ya tuvo su primera menstruación?,Votre enfant a-t-il commencé à avoir ses règles?,Votre enfant a-t-il commencé à avoir ses règles?,Is uw kind begonnen te menstrueren?,Has your child begun to menstruate?
ChildPubertyMenstruate,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildPubertyMenstruate,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildPubertyMenstruateAge,parent_survey_child,Hat bei Ihrem Kind die Menstruation bereits begonnen?,Hat bei Ihrem Kind die Menstruation bereits begonnen?,,,"De ser así, ¿cuántos años tenía su niña cuando tuvo su primera menstruación?","De ser así, ¿cuántos años tenía su niña cuando tuvo su primera menstruación?","De ser así, ¿cuántos años tenía su niña cuando tuvo su primera menstruación?","Si oui, quel âge avait votre enfant lorsqu'elle a eu ses premières règles?","Si oui, quel âge avait votre enfant lorsqu'elle a eu ses premières règles?","Zo ja, hoe oud was uw kind toen zij voor het eerst ongesteld werd?","If yes, how old was your child when she first got her period?"
ChildPubertyMenstruateAge,parent_survey_child,Lebensjahre,Lebensjahre,years of age,years of age,Edad,Edad,Edad,ans,ans,leeftijdsjaren,years of age
ChildPubertyMale,parent_survey_child,"Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt,"Bitte wählen Sie für jede Frage die Antwort aus,"Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was Ihrem Kind im Moment passiert.","For each question, please select the answer that best describes what is happening to your child right now.","For each question, please select the answer that best describes what is happening to your child right now.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.",Kies voor elke vraag het antwoord dat het beste beschrijft wat er momenteel met uw kind gebeurt.,"For each question, please select the answer that best describes what is happening to your child right now."
ChildPubertyGrowthMale,parent_survey_child,Was würdem Sie über das Wachstum Ihres Kindes in der Höhe (größer werden) sagen:,Was würdem Sie über das Wachstum Ihres Kindes in der Höhe (größer werden) sagen:,,,¿Qué diría usted del crecimiento de su niño (en estatura):,¿Qué diría usted del crecimiento de su niño (en estatura):,¿Qué diría usted del crecimiento de su niño (en estatura):,Diriez-vous que la croissance en taille de votre enfant (s'allonger):,Diriez-vous que la croissance en taille de votre enfant (s'allonger):,Zou u zeggen dat de groei in lengte van uw kind (groter worden):,Would you say that your child's growth in height (getting taller):
ChildPubertyGrowthMale,parent_survey_child,"Noch nicht mit dem Spurt (""Spurt"" bedeutet schneller wachsen als üblich) begonnen","Noch nicht mit dem Spurt (""Spurt"" bedeutet schneller wachsen als üblich) begonnen",,,"No ha empezado el estirón (""estirón"" significa un crecimiento acelerado)","No ha empezado el estirón (""estirón"" significa un crecimiento acelerado)","No ha empezado el estirón (""estirón"" significa un crecimiento acelerado)","N’a pas encore commencé à faire une poussée (""poussée"" signifie plus de croissance que la normale)","N’a pas encore commencé à faire une poussée (""poussée"" signifie plus de croissance que la normale)","Nog niet begonnen te groeien (""spurt"" betekent meer groei dan normaal)","Has not yet begun to spurt (""spurt"" means more growth than usual)"
ChildPubertyGrowthMale,parent_survey_child,Kaum mit dem Spurt begonnen,Kaum mit dem Spurt begonnen,,,Apenas inició el estirón,Apenas inició el estirón,Apenas inició el estirón,A à peine commencé à faire une poussée,A à peine commencé à faire une poussée,Is nauwelijks begonnen te groeien,Has barely started to spurt
ChildPubertyGrowthMale,parent_survey_child,Definitiv begonnen aber ist noch nicht abgeschlossen,Definitiv begonnen aber ist noch nicht abgeschlossen,,,Definitivamente está en el estirón pero aún no ha terminado,Definitivamente está en el estirón pero aún no ha terminado,Definitivamente está en el estirón pero aún no ha terminado,A certainement commencé mais n'est pas terminé,A certainement commencé mais n'est pas terminé,Is duidelijk begonnen maar is nog niet af,Has definitely started to happen but is not finished
ChildPubertyGrowthMale,parent_survey_child,Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Seems completed (child is about as tall as she is going to get),Seems completed (child is about as tall as she is going to get),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Lijkt voltooid (kind is ongeveer zo groot als zij zal worden),Seems completed (child is about as tall as she is going to get)
ChildPubertyHairMale,parent_survey_child,"Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:", dass die Körperbehaarung Ihres Kindes:", dass die Körperbehaarung Ihres Kindes:",,,"¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:","¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:","¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:","Qu'en est-il de la croissance des poils corporels (par exemple, sous les bras)? Diriez-vous que les poils corporels de votre enfant:","Qu'en est-il de la croissance des poils corporels (par exemple, sous les bras)? Diriez-vous que les poils corporels de votre enfant:",Hoe zit het met de groei van lichaamsbeharing (bijv. onder de armen)? Zou u zeggen dat de lichaamsbeharing van uw kind:,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:
ChildPubertyHairMale,parent_survey_child,Noch nicht begonnen hat zu wachsen,Noch nicht begonnen hat zu wachsen,,,No ha empezado a crecer,No ha empezado a crecer,No ha empezado a crecer,N'a pas commencé à pousser,N'a pas commencé à pousser,Nog niet begonnen met groeien,Has not started growing
ChildPubertyHairMale,parent_survey_child,Kaum begonnen hat zu wachsen,Kaum begonnen hat zu wachsen,,,Apenas ha empezado a crecer,Apenas ha empezado a crecer,Apenas ha empezado a crecer,A à peine commencé à pousser,A à peine commencé à pousser,Is nauwelijks begonnen met groeien,Has barely started growing
ChildPubertyHairMale,parent_survey_child,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,,,Definitivamente ha empezado a crecer pero no ha terminado,Definitivamente ha empezado a crecer pero no ha terminado,Definitivamente ha empezado a crecer pero no ha terminado,A clairement commencé à pousser mais n'est pas terminé,A clairement commencé à pousser mais n'est pas terminé,Is duidelijk begonnen te groeien maar is nog niet af,Has definitely started growing but is not finished
ChildPubertyHairMale,parent_survey_child,Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Seems completed (child has as much body hair as she is going to get),Seems completed (child has as much body hair as she is going to get),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Lijkt voltooid (kind heeft zoveel lichaamsbeharing als hij/zij zal krijgen),Seems completed (child has as much body hair as she is going to get)
ChildPubertySkinMale,parent_survey_child,"Haben Sie Hautveränderungen, insbesondere Pickel,"Haben Sie Hautveränderungen,"Haben Sie Hautveränderungen, insbesondere Pickel, festgestellt?",,,"¿Ha notado algún cambio en la piel, especialmente acné?","¿Ha notado algún cambio en la piel, especialmente acné?","¿Ha notado algún cambio en la piel, especialmente acné?","Avez-vous remarqué des changements cutanés, notamment des boutons?","Avez-vous remarqué des changements cutanés, notamment des boutons?","Heeft u enige huidveranderingen opgemerkt, vooral puistjes?","Have you noticed any skin changes, especially pimples?"
ChildPubertySkinMale,parent_survey_child,Veränderungen haben noch nicht begonnen,Veränderungen haben noch nicht begonnen,,,No ha empezado a mostrar cambios,No ha empezado a mostrar cambios,No ha empezado a mostrar cambios,N’a pas encore commencé à montrer des changements,N’a pas encore commencé à montrer des changements,Nog niet begonnen met het tonen van veranderingen,Not yet started showing changes
ChildPubertySkinMale,parent_survey_child,Erste Änderungen zeigen sich langsam,Erste Änderungen zeigen sich langsam,,,Apenas ha empezado a mostrar cambios,Apenas ha empezado a mostrar cambios,Apenas ha empezado a mostrar cambios,A à peine commencé à montrer des changements,A à peine commencé à montrer des changements,Is nauwelijks begonnen met het tonen van veranderingen,Have barely started showing changes
ChildPubertySkinMale,parent_survey_child,"Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen", sind aber noch nicht abgeschlossen", sind aber noch nicht abgeschlossen",,,Los cambios en la piel han empezado pero no han terminado,Los cambios en la piel han empezado pero no han terminado,Los cambios en la piel han empezado pero no han terminado,Les changements cutanés ont clairement commencé mais ne sont pas terminés,Les changements cutanés ont clairement commencé mais ne sont pas terminés,Huidveranderingen zijn duidelijk begonnen maar nog niet afgerond,Skin changes have definitely started but are not finished
ChildPubertySkinMale,parent_survey_child,Hautänderungen scheinen abgeschlossen zu sein,Hautänderungen scheinen abgeschlossen zu sein,Skin changes seem completed,Skin changes seem completed,Parece que los cambios en la piel han terminado,Parece que los cambios en la piel han terminado,Parece que los cambios en la piel han terminado,Les changements cutanés semblent terminés,Les changements cutanés semblent terminés,Huidveranderingen lijken voltooid te zijn,Skin changes seem completed
ChildPubertyVoiceMale,parent_survey_child,"Hat die Stimme Ihres Kindes begonnen, sich zu verändern?", sich zu verändern?", sich zu verändern?",,,¿Ha empezado a cambiar la voz de su niño?,¿Ha empezado a cambiar la voz de su niño?,¿Ha empezado a cambiar la voz de su niño?,La voix de votre enfant a-t-elle commencé à changer?,La voix de votre enfant a-t-elle commencé à changer?,Is de stem van uw kind begonnen te veranderen?,Has your child's voice started to change?
ChildPubertyVoiceMale,parent_survey_child,"Sie hat noch nicht angefangen, sich zu verändern", sich zu verändern", sich zu verändern",,,No ha empezado a cambiar,No ha empezado a cambiar,No ha empezado a cambiar,N'a pas encore commencé à changer,N'a pas encore commencé à changer,Nog niet begonnen met veranderen,Not yet started to change
ChildPubertyVoiceMale,parent_survey_child,"Sie hat kaum angefangen, sich zu verändern", sich zu verändern", sich zu verändern",,,Apenas ha empezado a cambiar,Apenas ha empezado a cambiar,Apenas ha empezado a cambiar,A à peine commencé à changer,A à peine commencé à changer,Is nauwelijks begonnen te veranderen,Has barely started changing
ChildPubertyVoiceMale,parent_survey_child,"Der Stimmbruch findet definitiv statt, ist aber noch nicht abgeschlossen", ist aber noch nicht abgeschlossen", ist aber noch nicht abgeschlossen",,,"El cambio de voz está ocurriendo, pero no ha terminado","El cambio de voz está ocurriendo, pero no ha terminado","El cambio de voz está ocurriendo, pero no ha terminado",Le changement de voix est clairement en cours mais n'est pas terminé,Le changement de voix est clairement en cours mais n'est pas terminé,Stembeugel is duidelijk aan het plaatsvinden maar nog niet voltooid,Voice change is definitely happening but is not finished
ChildPubertyVoiceMale,parent_survey_child,Der Stimmbruch scheint abgeschlossen zu sein,Der Stimmbruch scheint abgeschlossen zu sein,Voice change seems completed,Voice change seems completed,El cambio de voz parece haber terminado,El cambio de voz parece haber terminado,El cambio de voz parece haber terminado,Le changement de voix semble terminé,Le changement de voix semble terminé,Stembeugel lijkt voltooid,Voice change seems completed
ChildPubertyFaceHairMale,parent_survey_child,Hat bei Ihrem Kind die Gesichtsbehaarung (Bart oder Schnurrbart) begonnen?,Hat bei Ihrem Kind die Gesichtsbehaarung (Bart oder Schnurrbart) begonnen?,,,¿Le ha empezado a crecer el vello facial (barba o bigote)?,¿Le ha empezado a crecer el vello facial (barba o bigote)?,¿Le ha empezado a crecer el vello facial (barba o bigote)?,Votre enfant a-t-il commencé à développer des poils faciaux (barbe ou moustache)?,Votre enfant a-t-il commencé à développer des poils faciaux (barbe ou moustache)?,Is uw kind begonnen met het laten groeien van gezichtshaar (baard of snor)?,Has your child started to grow facial hair (beard or mustache)?
ChildPubertyFaceHairMale,parent_survey_child,Die Gesichtsbehaarung hat noch nicht begonnen,Die Gesichtsbehaarung hat noch nicht begonnen,,,No ha empezado a crecerle el vello facial,No ha empezado a crecerle el vello facial,No ha empezado a crecerle el vello facial,N’a pas encore commencé à pousser des poils faciaux,N’a pas encore commencé à pousser des poils faciaux,Nog niet begonnen met het laten groeien van gezichtshaar,Not yet started growing facial hair
ChildPubertyFaceHairMale,parent_survey_child,Die Gesichtsbehaarung hat gerade erst begonnen,Die Gesichtsbehaarung hat gerade erst begonnen,,,Apenas ha empezado a crecerle el vello facial,Apenas ha empezado a crecerle el vello facial,Apenas ha empezado a crecerle el vello facial,A à peine commencé à pousser des poils faciaux,A à peine commencé à pousser des poils faciaux,Is nauwelijks begonnen met het laten groeien van gezichtshaar,Has barely started growing facial hair
ChildPubertyFaceHairMale,parent_survey_child,"Das Haarwachstum hat definitiv begonnen (genug, um sich zu rasieren)", um sich zu rasieren)", um sich zu rasieren)",,,El vello facial ha empezado a crecer (lo suficiente como para afeitarse),El vello facial ha empezado a crecer (lo suficiente como para afeitarse),El vello facial ha empezado a crecer (lo suficiente como para afeitarse),La croissance des poils a clairement commencé (suffisamment pour se raser),La croissance des poils a clairement commencé (suffisamment pour se raser),Het groeien van haar is duidelijk begonnen (voldoende om te scheren),Hair growth has definitely started (enough to shave)
ChildPubertyFaceHairMale,parent_survey_child,"Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann", wie es maximal wachsen kann", wie es maximal wachsen kann",Probably grows now as fast as it will ever grow,Probably grows now as fast as it will ever grow,Parece que ya crece a la velocidad que lo hará a futuro,Parece que ya crece a la velocidad que lo hará a futuro,Parece que ya crece a la velocidad que lo hará a futuro,La croissance est probablement maintenant aussi rapide qu'elle ne le sera jamais,La croissance est probablement maintenant aussi rapide qu'elle ne le sera jamais,Waarschijnlijk groeit het nu zo snel als het ooit zal groeien,Probably grows now as fast as it will ever grow
ChildSleep,parent_survey_child,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Please respond to each statement about your child's sleep habits.,Please respond to each statement about your child's sleep habits.,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Veuillez répondre à chaque affirmation sur les habitudes de sommeil de votre enfant.,Veuillez répondre à chaque affirmation sur les habitudes de sommeil de votre enfant.,Beantwoord alstublieft elke uitspraak over de slaappatronen van uw kind.,Please respond to each statement about your child's sleep habits.
ChildSleepHabits,parent_survey_child,In den <b>letzten 7 Tagen</b>...,In den <b>letzten 7 Tagen</b>...,,,En los <b>últimos 7 días</b>…,En los <b>últimos 7 días</b>…,En los <b>últimos 7 días</b>…,Au cours des <b>7 derniers jours</b>....,Au cours des <b>7 derniers jours</b>....,In de <b>afgelopen 7 dagen</b>...,In the <b>past 7 days</b>....
ChildSleepHabits,parent_survey_child,Selten (0-1 Mal pro Woche),Selten (0-1 Mal pro Woche),,,Rara vez (0-1 veces por semana),Rara vez (0-1 veces por semana),Rara vez (0-1 veces por semana),Rarement (0-1 fois par semaine),Rarement (0-1 fois par semaine),Zelden (0-1 keer per week),Rarely (0-1 times per week)
ChildSleepHabits,parent_survey_child,Manchmal (2-4 Mal pro Woche),Manchmal (2-4 Mal pro Woche),,,A veces (2-4 veces por semana),A veces (2-4 veces por semana),A veces (2-4 veces por semana),Parfois (2-4 fois par semaine),Parfois (2-4 fois par semaine),Af en toe (2-4 keer per week),Sometimes (2-4 times per week)
ChildSleepHabits,parent_survey_child,Häufig (5 oder mehr Mal pro Woche),Häufig (5 oder mehr Mal pro Woche),,,Habitualmente (5 o más veces por semana),Habitualmente (5 o más veces por semana),Habitualmente (5 o más veces por semana),Habituellement (5 fois ou plus par semaine),Habituellement (5 fois ou plus par semaine),Meestal (5 of meer keer per week),Usually (5 or more times per week)
ChildSleepHabits,parent_survey_child,Ihr Kind hatte Schwierigkeiten beim Einschlafen (schlief nicht innerhalb von 20 Minuten nach dem Zubettgehen ein).,Ihr Kind hatte Schwierigkeiten beim Einschlafen (schlief nicht innerhalb von 20 Minuten nach dem Zubettgehen ein).,,,A su niño(a) le costó dormirse (tardó más de  20 minutos en dormirse).,A su niño(a) le costó dormirse (tardó más de  20 minutos en dormirse).,A su niño(a) le costó dormirse (tardó más de  20 minutos en dormirse).,Votre enfant a eu du mal à s'endormir (ne s'est pas endormi dans les 20 minutes suivant le coucher).,Votre enfant a eu du mal à s'endormir (ne s'est pas endormi dans les 20 minutes suivant le coucher).,Uw kind had moeite om in slaap te vallen (viel niet binnen 20 minuten na het naar bed gaan in slaap).,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).
ChildSleepHabits,parent_survey_child,"Ihr Kind hatte Schwierigkeiten, die Nacht durchzuschlafen (es wachte einmal oder öfter in der Nacht auf).", die Nacht durchzuschlafen (es wachte einmal oder öfter in der Nacht auf).", die Nacht durchzuschlafen (es wachte einmal oder öfter in der Nacht auf).",,,Su niño(a) tuvo dificultades para dormir toda la noche (se despertó una o más veces durante la noche).,Su niño(a) tuvo dificultades para dormir toda la noche (se despertó una o más veces durante la noche).,Su niño(a) tuvo dificultades para dormir toda la noche (se despertó una o más veces durante la noche).,Votre enfant a eu des difficultés à dormir toute la nuit (s'est réveillé une fois ou plus pendant la nuit).,Votre enfant a eu des difficultés à dormir toute la nuit (s'est réveillé une fois ou plus pendant la nuit).,Uw kind had moeite om de nacht door te slapen (werd één of meerdere keren per nacht wakker).,Your child had difficulty sleeping through the night (woke up once or more during the night).
ChildSleepHabits,parent_survey_child,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Votre enfant se couchait à peu près à la même heure les soirs de semaine (lundi-vendredi).,Votre enfant se couchait à peu près à la même heure les soirs de semaine (lundi-vendredi).,Uw kind ging op ongeveer dezelfde tijd naar bed tijdens doordeweekse avonden (maandag-vrijdag).,Your child went to bed at about the same time on the weeknights (Monday-Friday).
ChildSleepHours,parent_survey_child,Wie viele Stunden Schlaf pro Nacht konnte Ihr Kind in der Regel an den Wochentagen <b>WÄHREND DER VERGANGENEN WOCHE</b> bekommen?,Wie viele Stunden Schlaf pro Nacht konnte Ihr Kind in der Regel an den Wochentagen <b>WÄHREND DER VERGANGENEN WOCHE</b> bekommen?,,,"<b>DURANTE LA SEMANA PASADA</b>, ¿cuántas horas durmió normalmente su niño(a) durante la semana por noche (de lunes a viernes)?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántas horas durmió normalmente su niño(a) durante la semana por noche (de lunes a viernes)?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántas horas durmió normalmente su niño(a) durante la semana por noche (de lunes a viernes)?","<b>AU COURS DE LA SEMAINE PASSÉE</b>, combien d'heures de sommeil votre enfant a-t-il généralement obtenu par nuit pendant les jours de semaine (lundi-vendredi)?","<b>AU COURS DE LA SEMAINE PASSÉE</b>, combien d'heures de sommeil votre enfant a-t-il généralement obtenu par nuit pendant les jours de semaine (lundi-vendredi)?","<b>IN DE AFGELOPEN WEEK</b>, hoeveel uur slaap kreeg uw kind meestal per nacht door de week (maandag-vrijdag)?","<b>DURING THE PAST WEEK</b>, about how many hours of sleep per night did your child usually get on the weeknights (Monday-Friday)?"
ChildSleepHours,parent_survey_child,Weniger als 6 Stunden,Weniger als 6 Stunden,,,Menos de 6 horas,Menos de 6 horas,Menos de 6 horas,Moins de 6 heures,Moins de 6 heures,Minder dan 6 uur,Less than 6 hours
ChildSleepHours,parent_survey_child,6 Stunden,6 Stunden,,,6 horas,6 horas,6 horas,6 heures,6 heures,6 uur,6 hours
ChildSleepHours,parent_survey_child,7 Stunden,7 Stunden,,,7 horas,7 horas,7 horas,7 heures,7 heures,7 uur,7 hours
ChildSleepHours,parent_survey_child,8 Stunden,8 Stunden,,,8 horas,8 horas,8 horas,8 heures,8 heures,8 uur,8 hours
ChildSleepHours,parent_survey_child,9 Stunden,9 Stunden,,,9 horas,9 horas,9 horas,9 heures,9 heures,9 uur,9 hours
ChildSleepHours,parent_survey_child,10 Stunden,10 Stunden,,,10 horas,10 horas,10 horas,10 heures,10 heures,10 uur,10 hours
ChildSleepHours,parent_survey_child,11 Stunden oder mehr,11 Stunden oder mehr,11 hours or more,11 hours or more,11 horas o más,11 horas o más,11 horas o más,11 heures ou plus,11 heures ou plus,11 uur of meer,11 hours or more
CaregiverSectionIntro2,parent_survey_child,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Esta sección indaga por el comportamiento y la interacción social de su niño(a).,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Cette section pose des questions sur le comportement et l'interaction sociale de votre enfant.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.
ChildSDQitems,parent_survey_child,"Bitte markieren Sie zu jeder Aussage, wie gut diese auf Ihr Kind zutrifft: ""Trifft überhaupt nicht zu"", ""Trifft eher zu"" oder ""Trifft voll und ganz zu"". Beantworten Sie bitte alle Fragen so gut Sie können, ""Trifft eher zu"" oder ""Trifft voll und ganz zu"". Beantworten Sie bitte alle Fragen so gut Sie können, selbst wenn Sie sich nicht ganz sicher sind.","Bitte markieren Sie zu jeder Aussage, wie gut diese auf Ihr Kind zutrifft: ""Trifft überhaupt nicht zu"", ""Trifft eher nicht zu"", ""Trifft eher zu"" oder ""Trifft voll und ganz zu"". Beantworten Sie bitte alle Fragen so gut Sie können, selbst wenn Sie sich nicht ganz sicher sind.",,,"Para cada frase, indique <i>qué tanto</i> describe a su niño(a) con las siguientes opciones: ""Para nada"", ""Un poco"", ""Bastante"" o ""Completamente"". Le agradecemos que responda a las preguntas lo mejor que pueda, aunque no esté completamente seguro(a).","Para cada frase, indique <i>qué tanto</i> describe a su niño(a) con las siguientes opciones: ""Para nada"", ""Un poco"", ""Bastante"" o ""Completamente"". Le agradecemos que responda a las preguntas lo mejor que pueda, aunque no esté completamente seguro(a).","Para cada frase, indique <i>qué tanto</i> describe a su niño(a) con las siguientes opciones: ""Para nada"", ""Un poco"", ""Bastante"" o ""Completamente"". Le agradecemos que responda a las preguntas lo mejor que pueda, aunque no esté completamente seguro(a).","Pour chaque élément, veuillez cocher ""Pas du tout"", ""Pas très bien"", ""Assez bien"" ou ""Très bien"" pour indiquer <i>à quel point</i> la phrase s'applique à votre enfant. Veuillez répondre à tous les éléments du mieux que vous pouvez, même si vous n'êtes pas absolument certain.","Pour chaque élément, veuillez cocher ""Pas du tout"", ""Pas très bien"", ""Assez bien"" ou ""Très bien"" pour indiquer <i>à quel point</i> la phrase s'applique à votre enfant. Veuillez répondre à tous les éléments du mieux que vous pouvez, même si vous n'êtes pas absolument certain.","Voor elk item, markeer ""Helemaal niet"", ""Niet zo goed"", ""Redelijk goed"" of ""Heel goed"" om aan te geven <i>hoe goed</i> de zin van toepassing is op uw kind. Beantwoord alle items zo goed mogelijk, zelfs als u niet helemaal zeker bent.","For each item, please mark ""Not at all"", ""Not very well"", ""Somewhat well"", or ""Very well"" to indicate <i>how well</i> the sentence applies to your child. Please answer all items as best you can even if you are not absolutely certain."
ChildSDQitems,parent_survey_child,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,,,Para nada,Para nada,Para nada,Pas du tout,Pas du tout,Helemaal niet,Not at all
ChildSDQitems,parent_survey_child,Trifft eher nicht zu,Trifft eher nicht zu,,,Un poco,Un poco,Un poco,Pas très bien,Pas très bien,Niet zo goed,Not very well
ChildSDQitems,parent_survey_child,Trifft eher zu,Trifft eher zu,,,Bastante,Somewhat well,Bastante,Assez bien,Assez bien,Redelijk goed,Somewhat well
ChildSDQitems,parent_survey_child,Trifft voll und ganz zu,Trifft voll und ganz zu,,,Completamente,Completamente,Completamente,Très bien,Très bien,Heel goed,Very well
ChildSDQitems,parent_survey_child,"Ihr Kind hat Schwierigkeiten, still zu halten oder zeigt Phasen der Überaktivität.", still zu halten oder zeigt Phasen der Überaktivität.", still zu halten oder zeigt Phasen der Überaktivität.",,,Su niño(a) tiene dificultades para permanecer quieto o tiene periodos de hiperactividad.,Su niño(a) tiene dificultades para permanecer quieto o tiene periodos de hiperactividad.,Su niño(a) tiene dificultades para permanecer quieto o tiene periodos de hiperactividad.,Votre enfant a des difficultés à rester immobile ou montre des périodes d'hyperactivité.,Votre enfant a des difficultés à rester immobile ou montre des périodes d'hyperactivité.,Uw kind heeft moeite om stil te zitten of vertoont perioden van overactiviteit.,Your child has difficulty staying still or shows periods of over-activity.
