identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
ChildPubertyFemale,parent_survey_child,"For each question, please select the answer that best describes what is happening to your child right now.","For each question, please select the answer that best describes what is happening to your child right now.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was mit Ihrem Kind im Moment passiert.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was mit Ihrem Kind im Moment passiert.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.",Kies voor elke vraag het antwoord dat het beste beschrijft wat er momenteel met uw kind gebeurt.,"For each question, please select the answer that best describes what is happening to your child right now.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was mit Ihrem Kind im Moment passiert.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.","For each question, please select the answer that best describes what is happening to your child right now."
ChildPubertyGrowthFemale,parent_survey_child,Seems completed (child is about as tall as she is going to get),Seems completed (child is about as tall as she is going to get),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Lijkt voltooid (kind is ongeveer zo groot als zij zal worden),Seems completed (child is about as tall as she is going to get),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Seems completed (child is about as tall as she is going to get)
ChildPubertyHairFemale,parent_survey_child,Seems completed (child has as much body hair as she is going to get),Seems completed (child has as much body hair as she is going to get),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Lijkt voltooid (kind heeft zoveel lichaamsbeharing als hij/zij zal krijgen),Seems completed (child has as much body hair as she is going to get),Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),Seems completed (child has as much body hair as she is going to get)
ChildPubertySkinFemale,parent_survey_child,Skin changes seem completed,Skin changes seem completed,Hautänderungen scheinen abgeschlossen zu sein,Hautänderungen scheinen abgeschlossen zu sein,Parece que los cambios en la piel han terminado,Parece que los cambios en la piel han terminado,Parece que los cambios en la piel han terminado,Les changements cutanés semblent terminés,Les changements cutanés semblent terminés,Huidveranderingen lijken voltooid te zijn,Skin changes seem completed,Parece que los cambios en la piel han terminado,Les changements cutanés semblent terminés,Hautänderungen scheinen abgeschlossen zu sein,Parece que los cambios en la piel han terminado,Skin changes seem completed
ChildPubertyBreastFemale,parent_survey_child,Breast growth seems completed,Breast growth seems completed,Das Brustwachstum scheint abgeschlossen zu sein,Das Brustwachstum scheint abgeschlossen zu sein,Parece que el crecimiento de los pechos ha terminado,Parece que el crecimiento de los pechos ha terminado,Parece que el crecimiento de los pechos ha terminado,La croissance des seins semble terminée,La croissance des seins semble terminée,Borstgroei lijkt voltooid,Breast growth seems completed,Parece que el crecimiento de los pechos ha terminado,La croissance des seins semble terminée,Das Brustwachstum scheint abgeschlossen zu sein,Parece que el crecimiento de los pechos ha terminado,Breast growth seems completed
ChildPubertyMenstruate,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildPubertyMenstruateAge,parent_survey_child,years of age,years of age,Lebensjahre,Lebensjahre,Edad,Edad,Edad,ans,ans,leeftijdsjaren,years of age,Edad,ans,Lebensjahre,Edad,years of age
ChildPubertyMale,parent_survey_child,"For each question, please select the answer that best describes what is happening to your child right now.","For each question, please select the answer that best describes what is happening to your child right now.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was Ihrem Kind im Moment passiert.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was Ihrem Kind im Moment passiert.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.",Kies voor elke vraag het antwoord dat het beste beschrijft wat er momenteel met uw kind gebeurt.,"For each question, please select the answer that best describes what is happening to your child right now.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","Pour chaque question, veuillez sélectionner la réponse qui décrit le mieux ce qui arrive actuellement à votre enfant.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was Ihrem Kind im Moment passiert.","Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento.","For each question, please select the answer that best describes what is happening to your child right now."
ChildPubertyGrowthMale,parent_survey_child,Seems completed (child is about as tall as she is going to get),Seems completed (child is about as tall as she is going to get),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Lijkt voltooid (kind is ongeveer zo groot als zij zal worden),Seems completed (child is about as tall as she is going to get),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Semble terminé (l'enfant est à peu près aussi grand qu'il va le devenir),Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),Parece que terminó el estirón (ha alcanzado su estatura que va a tener),Seems completed (child is about as tall as she is going to get)
ChildPubertyHairMale,parent_survey_child,Seems completed (child has as much body hair as she is going to get),Seems completed (child has as much body hair as she is going to get),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Lijkt voltooid (kind heeft zoveel lichaamsbeharing als hij/zij zal krijgen),Seems completed (child has as much body hair as she is going to get),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Semble terminé (l'enfant a autant de poils corporels qu'il aura),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener),Seems completed (child has as much body hair as she is going to get)
ChildPubertySkinMale,parent_survey_child,Skin changes seem completed,Skin changes seem completed,Hautänderungen scheinen abgeschlossen zu sein,Hautänderungen scheinen abgeschlossen zu sein,Parece que los cambios en la piel han terminado,Parece que los cambios en la piel han terminado,Parece que los cambios en la piel han terminado,Les changements cutanés semblent terminés,Les changements cutanés semblent terminés,Huidveranderingen lijken voltooid te zijn,Skin changes seem completed,Parece que los cambios en la piel han terminado,Les changements cutanés semblent terminés,Hautänderungen scheinen abgeschlossen zu sein,Parece que los cambios en la piel han terminado,Skin changes seem completed
ChildPubertyVoiceMale,parent_survey_child,Voice change seems completed,Voice change seems completed,Der Stimmbruch scheint abgeschlossen zu sein,Der Stimmbruch scheint abgeschlossen zu sein,El cambio de voz parece haber terminado,El cambio de voz parece haber terminado,El cambio de voz parece haber terminado,Le changement de voix semble terminé,Le changement de voix semble terminé,Stembeugel lijkt voltooid,Voice change seems completed,El cambio de voz parece haber terminado,Le changement de voix semble terminé,Der Stimmbruch scheint abgeschlossen zu sein,El cambio de voz parece haber terminado,Voice change seems completed
ChildPubertyFaceHairMale,parent_survey_child,Probably grows now as fast as it will ever grow,Probably grows now as fast as it will ever grow,"Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann","Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann",Parece que ya crece a la velocidad que lo hará a futuro,Parece que ya crece a la velocidad que lo hará a futuro,Parece que ya crece a la velocidad que lo hará a futuro,La croissance est probablement maintenant aussi rapide qu'elle ne le sera jamais,La croissance est probablement maintenant aussi rapide qu'elle ne le sera jamais,Waarschijnlijk groeit het nu zo snel als het ooit zal groeien,Probably grows now as fast as it will ever grow,Parece que ya crece a la velocidad que lo hará a futuro,La croissance est probablement maintenant aussi rapide qu'elle ne le sera jamais,"Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann",Parece que ya crece a la velocidad que lo hará a futuro,Probably grows now as fast as it will ever grow
ChildSleep,parent_survey_child,Please respond to each statement about your child's sleep habits.,Please respond to each statement about your child's sleep habits.,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Veuillez répondre à chaque affirmation sur les habitudes de sommeil de votre enfant.,Veuillez répondre à chaque affirmation sur les habitudes de sommeil de votre enfant.,Beantwoord alstublieft elke uitspraak over de slaappatronen van uw kind.,Please respond to each statement about your child's sleep habits.,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Veuillez répondre à chaque affirmation sur les habitudes de sommeil de votre enfant.,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,Please respond to each statement about your child's sleep habits.
ChildSleepHabits,parent_survey_child,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Votre enfant se couchait à peu près à la même heure les soirs de semaine (lundi-vendredi).,Votre enfant se couchait à peu près à la même heure les soirs de semaine (lundi-vendredi).,Uw kind ging op ongeveer dezelfde tijd naar bed tijdens doordeweekse avonden (maandag-vrijdag).,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Votre enfant se couchait à peu près à la même heure les soirs de semaine (lundi-vendredi).,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,Your child went to bed at about the same time on the weeknights (Monday-Friday).
ChildSleepHours,parent_survey_child,11 hours or more,11 hours or more,11 Stunden oder mehr,11 Stunden oder mehr,11 horas o más,11 horas o más,11 horas o más,11 heures ou plus,11 heures ou plus,11 uur of meer,11 hours or more,11 horas o más,11 heures ou plus,11 Stunden oder mehr,11 horas o más,11 hours or more
CaregiverSectionIntro2,parent_survey_child,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Esta sección indaga por el comportamiento y la interacción social de su niño(a).,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Cette section pose des questions sur le comportement et l'interaction sociale de votre enfant.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Cette section pose des questions sur le comportement et l'interaction sociale de votre enfant.,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,<block><b><font face=Verdana size=4>Esta sección indaga por el comportamiento y la interacción social de su niño(a).,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.
ChildSDQitems,parent_survey_child,Your child is often nervous or fearful.,Your child is often nervous or fearful.,Ihr Kind ist oft nervös oder ängstlich.,Ihr Kind ist oft nervös oder ängstlich.,Su niño(a) suele estar nervioso o temeroso.,Su niño(a) suele estar nervioso o temeroso.,Su niño(a) suele estar nervioso o temeroso.,Votre enfant est souvent nerveux ou craintif.,Votre enfant est souvent nerveux ou craintif.,Uw kind is vaak nerveus of bang.,Your child is often nervous or fearful.,Su niño(a) suele estar nervioso o temeroso.,Votre enfant est souvent nerveux ou craintif.,Ihr Kind ist oft nervös oder ängstlich.,Su niño(a) suele estar nervioso o temeroso.,Your child is often nervous or fearful.
ChildSCSitems,parent_survey_child,Your child can give suggestions without being bossy.,Your child can give suggestions without being bossy.,"Ihr Kind kann Vorschläge machen, ohne bestimmerisch zu sein.","Ihr Kind kann Vorschläge machen, ohne bestimmerisch zu sein.",Su niño(a) sabe hacer sugerencias sin ser autoritario.,Su niño(a) sabe hacer sugerencias sin ser autoritario.,Su niño(a) sabe hacer sugerencias sin ser autoritario.,Votre enfant peut donner des suggestions sans être autoritaire.,Votre enfant peut donner des suggestions sans être autoritaire.,Uw kind kan suggesties geven zonder bazig te zijn.,Your child can give suggestions without being bossy.,Su niño(a) sabe hacer sugerencias sin ser autoritario.,Votre enfant peut donner des suggestions sans être autoritaire.,"Ihr Kind kann Vorschläge machen, ohne bestimmerisch zu sein.",Su niño(a) sabe hacer sugerencias sin ser autoritario.,Your child can give suggestions without being bossy.
ChildCBQitems,parent_survey_child,Your child lets others use her/his toys or items.,Your child lets others use her/his toys or items.,Ihr Kind lässt andere sein Spielzeug oder seine Gegenstände benutzen.,Ihr Kind lässt andere sein Spielzeug oder seine Gegenstände benutzen.,Su niño(a) permite que los demás usen sus juguetes u objetos.,Su niño(a) permite que los demás usen sus juguetes u objetos.,Su niño(a) permite que los demás usen sus juguetes u objetos.,Votre enfant permet aux autres d'utiliser ses jouets ou objets.,Votre enfant permet aux autres d'utiliser ses jouets ou objets.,Uw kind laat anderen zijn/haar speelgoed of spullen gebruiken.,Your child lets others use her/his toys or items.,Su niño(a) permite que los demás usen sus juguetes u objetos.,Votre enfant permet aux autres d'utiliser ses jouets ou objets.,Ihr Kind lässt andere sein Spielzeug oder seine Gegenstände benutzen.,Su niño(a) permite que los demás usen sus juguetes u objetos.,Your child lets others use her/his toys or items.
ChildJukesItems,parent_survey_child,Your child is respectful towards adults.,Your child is respectful towards adults.,Ihr Kind ist respektvoll gegenüber Erwachsenen.,Ihr Kind ist respektvoll gegenüber Erwachsenen.,Su niño(a) es respetuoso con los adultos.,Su niño(a) es respetuoso con los adultos.,Su niño(a) es respetuoso con los adultos.,Votre enfant est respectueux envers les adultes.,Votre enfant est respectueux envers les adultes.,Uw kind is respectvol tegenover volwassenen.,Your child is respectful towards adults.,Su niño(a) es respetuoso con los adultos.,Votre enfant est respectueux envers les adultes.,Ihr Kind ist respektvoll gegenüber Erwachsenen.,Su niño(a) es respetuoso con los adultos.,Your child is respectful towards adults.
ChildFriends,parent_survey_child,A lot of difficulty,A lot of difficulty,Sehr schwierig,Sehr schwierig,Mucha dificultad,Mucha dificultad,Mucha dificultad,Beaucoup de difficultés,Beaucoup de difficultés,Veel moeite,A lot of difficulty,Mucha dificultad,Beaucoup de difficultés,Sehr schwierig,Mucha dificultad,A lot of difficulty
ChildBullied,parent_survey_child,Almost every day,Almost every day,Fast jeden Tag,Fast jeden Tag,Casi todos los días,Casi todos los días,Casi todos los días,Presque tous les jours,Presque tous les jours,Bijna elke dag,Almost every day,Casi todos los días,Presque tous les jours,Fast jeden Tag,Casi todos los días,Almost every day
ChildBullyOthers,parent_survey_child,Almost every day,Almost every day,Fast jeden Tag,Fast jeden Tag,Casi todos los días,Casi todos los días,Casi todos los días,Presque tous les jours,Presque tous les jours,Bijna elke dag,Almost every day,Casi todos los días,Presque tous les jours,Fast jeden Tag,Casi todos los días,Almost every day
CaregiverSectionIntro3,parent_survey_child,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>Esta sección tiene preguntas que indagan por el aprendizaje.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>Cette section pose des questions relatives à l'apprentissage.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>Cette section pose des questions relatives à l'apprentissage.,<block><b><font face=Verdana size=4>This section asks questions related to learning.,<block><b><font face=Verdana size=4>Esta sección tiene preguntas que indagan por el aprendizaje.,<block><b><font face=Verdana size=4>This section asks questions related to learning.
ChildELSitems,parent_survey_child,"Measure or weigh things (e.g., when cooking)","Measure or weigh things (e.g., when cooking)",Dinge messen oder wiegen (z. B. beim Kochen),Dinge messen oder wiegen (z. B. beim Kochen),"Medir o pesar cosas (por ejemplo, para cocinar)","Medir o pesar cosas (por ejemplo, para cocinar)","Medir o pesar cosas (por ejemplo, para cocinar)","Mesurer ou peser des choses (par exemple, en cuisinant)","Mesurer ou peser des choses (par exemple, en cuisinant)",Meten of dingen wegen (bijv. bij het koken),"Measure or weigh things (e.g., when cooking)","Medir o pesar cosas (por ejemplo, para cocinar)","Mesurer ou peser des choses (par exemple, en cuisinant)",Dinge messen oder wiegen (z. B. beim Kochen),"Medir o pesar cosas (por ejemplo, para cocinar)","Measure or weigh things (e.g., when cooking)"
<br><br>,,,,,,,,,,,,,,,,,
"<b>How often did/do you or someone else in your home do the following activities with your child?</b>,",,,,,,,,,,,,,,,,,
ChildAttendEC,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildAttendKinder,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildAttendECKinderTime,parent_survey_child,4 years or more,4 years or more,4 Jahre oder mehr,4 Jahre oder mehr,4 años o más,4 años o más,4 años o más,4 ans ou plus,4 ans ou plus,4 jaar of meer,4 years or more,4 años o más,4 ans ou plus,4 Jahre oder mehr,4 años o más,4 years or more
ChildAttendPrimaryAge,parent_survey_child,8 years old or older,8 years old or older,8 Jahre alt oder älter,8 Jahre alt oder älter,8 años o más,8 años o más,8 años o más,8 ans ou plus,8 ans ou plus,8 jaar of ouder,8 years old or older,8 años o más,8 ans ou plus,8 Jahre alt oder älter,8 años o más,8 years old or older
ChildEdAchieve,parent_survey_child,Doctoral degree,Doctoral degree,Doktorgrad,Doktorgrad,Doctorado completo,Doctorado completo,Doctorado completo,Doctorat,Doctorat,Doctorale graad,Doctoral degree,Doctorado completo,Doctorat,Doktorgrad,Doctorado completo,Doctoral degree
ChildSchoolItems,parent_survey_child,Do all required homework?,Do all required homework?,Alle erforderlichen Hausaufgaben machen?,Alle erforderlichen Hausaufgaben machen?,¿Cumplir con todas la tareas asignadas?,¿Cumplir con todas la tareas asignadas?,¿Cumplir con todas la tareas asignadas?,Faire tous les devoirs requis ?,Faire tous les devoirs requis ?,Doe al het vereiste huiswerk?,Do all required homework?,¿Cumplir con todas la tareas asignadas?,Faire tous les devoirs requis ?,Alle erforderlichen Hausaufgaben machen?,¿Cumplir con todas la tareas asignadas?,Do all required homework?
ChildDeviceUse,parent_survey_child,4 or more hours,4 or more hours,4 oder mehr Stunden,4 oder mehr Stunden,4 horas o más,4 horas o más,4 horas o más,4 heures ou plus,4 heures ou plus,4 of meer uren,4 or more hours,4 horas o más,4 heures ou plus,4 oder mehr Stunden,4 horas o más,4 or more hours
ChildPhone,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildPhoneAge,parent_survey_child,years of age,years of age,Lebensjahre,Lebensjahre,años,años,años,ans,ans,leeftijdsjaren,years of age,años,ans,Lebensjahre,años,years of age
ChildSocialMedia,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildEFQintro,parent_survey_child,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>Nos interesa saber con qué frecuencia, de forma independiente, y facilidad su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucho apoyo deberían recibir una calificación de 1.</b><br><br><b>4</b> = Siempre por sí mismo (no necesita apoyo) <br><br><b>3</b> = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br><br><b>2</b> = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br><br><b>1</b> = No puede por sí mismo (necesita mucho apoyo)","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>",,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>","<b>Nos interesa saber con qué frecuencia, de forma independiente, y facilidad su niño(a) despliega estos comportamientos cuando la ocasión lo requiere. Los niños que sobresalen en un comportamiento específico deberían recibir una calificación de 4 (la puntuación más alta). La mayoría de niños recibirán calificaciones de 3 ó 2. Quienes aún están en desarrollo y requieren mucho apoyo deberían recibir una calificación de 1.</b><br><br><b>4</b> = Siempre por sí mismo (no necesita apoyo) <br><br><b>3</b> = Generalmente por sí mismo (necesita poco apoyo o pocos recordatorios)<br><br><b>2</b> = A veces por sí mismo (necesita apoyo moderado o recordatorios con frecuencia)<br><br><b>1</b> = No puede por sí mismo (necesita mucho apoyo)","<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>"
ChildEFQ1,parent_survey_child,(1) Not able on their own (Requires a lot of support),(1) Not able on their own (Requires a lot of support),"(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)","(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)",(1) No puede por sí mismo (necesita mucho apoyo),(1) No puede por sí mismo (necesita mucho apoyo),(1) No puede por sí mismo (necesita mucho apoyo),(1) Incapable seul (nécessite beaucoup de soutien),(1) Incapable seul (nécessite beaucoup de soutien),(1) Niet zelfstandig (Veel ondersteuning vereist),(1) Not able on their own (Requires a lot of support),(1) No puede por sí mismo (necesita mucho apoyo),(1) Incapable seul (nécessite beaucoup de soutien),"(1) Nicht in der Lage, selbstständig zu sein (benötigt viel Unterstützung)",(1) No puede por sí mismo (necesita mucho apoyo),(1) Not able on their own (Requires a lot of support)
